povo povo
abençoado abençoar
do de_o
Brasil brasil
Esse esse
vídeo vídeo
é ser
imperdível imperdível
se se
você você
ama amar
a o
liberdade liberdade
ama amar
o o
Brasil brasil
assista assistir
até até
o o
final final
eu eu
vou ir
falar falar
sobre sobre
a o
democracia democracia
de de
Alexandre alexandre
Moraes moraes
que que
não não
tem ter
nada nada
a a
ver ver
com com
a o
constituição constituição
eu eu
vou ir
fazer fazer
aqui aqui
uma um
crítica crítico
duríssima duro
ao a_o
discurso discurso
que que
ele ele
proferiu proferir
agora agora
dia dia
26 26
segunda-feira segunda-feira
26 26
de de
fevereiro fevereiro
na em_o
aula aula
inaugural inaugural
para para
os o
calos calo
do de_o
curso curso
de de
Direito direito
da de_o
Usp usp
eu eu
vou ir
mostrar mostrar
as o
falas fala
dele de_ele
e e
vou ir
questioná questioná
-las elas
Ok ok
então então
muita muito
atenção atenção
vamos ir
à a_o
primeira primeiro
parte parte
a o
primeira primeiro
fala fala
do de_o
ministro ministro
que que
eu eu
quero querer
questionar questionar
os o
mecanismos mecanismo
são ser
os o
mesmos mesmo
eh eh
ah ah
se se
vocês você
tiverem ter
oportunidade oportunidade
há haver
um um
documentário documentário
muito muito
bom bom
na em_o
Netflix netflix
eh eh
o o
manual manual
do de_o
ditador ditador
e e
são ser
cinco cinco
ou ou
seis seis
histórias história
começa começar
com com
Hitler hitler
é ser
Stalin stalin
n n
e e
vai ir
vários vários
ditadores ditador
e e
e e
termina terminar
esqueci esquecer
o o
nome nome
agora agora
o o
O o
Ditador ditador
da de_o
Coreia coreia
do de_o
Norte norte
dizendo dizer
que que
lá lá
lá lá
o o
o o
manual manual
foi ser
o o
mais mais
perfeito perfeito
porque porque
até até
hoje hoje
passa passar
de de
pai pai
para para
filho filho
para para
neto neto
mas mas
não não
são ser
nem nem
criativos criativo
o o
manual manual
é ser
sempre sempre
o o
mesmo mesmo
Da de_o
mesma mesmo
forma forma
que que
esse esse
populismo populismo
extremista extremista
dessa de_esse
extrema extremo
direita direita
vamos ir
atacar atacar
o o
judiciário judiciário
a o
questão questão
aí aí
do de_o
do de_o
manual manual
do de_o
ditador ditador
que que
o o
ministro ministro
fala falar
que que
a o
Netflix netflix
tem ter
lá lá
um um
um um
documentário documentário
com com
cinco cinco
ou ou
seis seis
O o
senhor senhor
será ser
o o
sétimo sétimo
mas mas
eu eu
vou ir
mostrar mostrar
no em_o
final final
de de
todo todo
o o
vídeo vídeo
porque porque
eu eu
lhe ele
chamo chamar
de de
ditador ditador
da de_o
toga toga
agora agora
olha olhar
a o
sua seu
palavra palavra
aí aí
a a
sua seu
palavra palavra
é ser
uma um
palavra palavra
ideológica ideológico
é ser
o o
que que
a o
esquerda esquerda
usa usar
populismo populismo
extremista extremista
da de_o
Extrema extremo
direita direita
que que
o o
senhor senhor
já já
disse dizer
em em
outro outro
discurso discurso
que que
tem ter
que que
ser ser
combatida combater
na em_o
América américa
Latina latina
essa esse
é ser
uma um
fala fala
da de_o
esquerda esquerda
para para
rotular rotular
a o
direita direita
mas mas
o o
senhor senhor
não não
fala falar
do de_o
populismo populismo
extremista extremista
da de_o
Extrema extremo
esquerda esquerda
que que
aqui aqui
no em_o
Brasil brasil
é é
Lula lula
o o
senhor senhor
não não
ataca atacar
o o
extremismo extremismo
populista populista
da de_o
Extrema extremo
esquerda esquerda
de de
Ortega ortega
hã hã
de de
Nicolás nicolás
Maduro maduro
e e
de de
outros outro
então então
essa esse
Ministro ministro
é ser
uma um
fala fala
que que
mostra mostrar
que que
o o
senhor senhor
não não
é ser
imparcial imparcial
como como
magistrado magistrado
da de_o
mais muito
alta alta
corte cortar
o o
senhor senhor
tinha ter
que que
ser ser
terrivelmente terrivelmente
parcial parcial
o o
senhor senhor
é ser
parcial parcial
o o
senhor senhor
tem ter
lado lado
o o
senhor senhor
ataca atacar
a o
direita direita
usando usar
o o
mesmo mesmo
discurso discurso
ideológico ideológico
da de_o
esquerda esquerda
essa esse
que que
é ser
a o
verdade verdade
agora agora
vamos ir
para para
uma um
outra outro
fala falar
dele de_ele
vamos ir
pro pro
enfrentamento enfrentamento
vamos ir
usar usar
nossas nosso
milícias milícia
digitais digital
para para
desacreditar desacreditar
o o
judiciário judiciário
atacando atacar
não não
só só
o o
poder poder
como como
os o
membros membro
do de_o
Poder poder
Judiciário judiciário
que que
foi ser
O o
que que
foi ser
feito fazer
no em_o
Brasil brasil
você você
tá estar
acompanhando acompanhar
do de_o
discurso discurso
ele ele
tá estar
falando falar
da de_o
milícia milícia
digital digital
da de_o
Extrema extremo
direita direita
e e
ele ele
utiliza utilizar
a o
mesma mesmo
palavra palavra
que que
a o
esquerda esquerda
usa usar
em em
seus seu
discursos discurso
quando quando
eles eles
criticam criticar
é ser
crítica crítico
quando quando
eles eles
são ser
criticados criticar
é é
ataque ataque
Eu eu
quero querer
fazer fazer
uma um
pergunta pergunta
ao a_o
Ministro ministro
juristas jurista
advogados advogar
e e
gente gente
do de_o
Povo povo
onde onde
é ser
que que
na em_o
Constituição constituição
está estar
escrito escrever
que que
o o
STF stf
seus seu
ministros ministro
são ser
incriveis incriveis
onde onde
é ser
que que
é ser
onde onde
é ser
que que
está estar
na em_o
Constituição constituição
que que
você você
não não
pode poder
criticar criticar
poder poder
executivo executivo
legislativo legislativo
judiciário judiciário
não não
pode poder
criticar criticar
As o
instituições instituição
democráticas democrático
em em
lugar lugar
nenhum nenhum
mas mas
eu eu
vou ir
fazer fazer
um um
desafio desafio
ao a_o
Ministro ministro
Alexandre alexandre
Moraes moraes
o o
senhor senhor
comanda comandar
o o
inquérito inquérito
das de_o
milícias milícia
digitais digital
Por por
que que
o o
senhor senhor
não não
mandou mandar
investigar investigar
a a
mate mate
a a
mate mate
é ser
uma um
plataforma plataforma
que que
tem ter
mais mais
de de
400 400
sites site
e e
a o
maioria maioria
de de
esquerda esquerda
e e
de de
artistas artista
Por por
que que
o o
senhor senhor
não não
mandou mandar
a o
polícia polícia
Federal federal
na em_o
casa casa
dessa de_esse
gente gente
aprender aprender
celular celular
e e
computadores computador
por por
quê quê
Porque porque
o o
senhor senhor
vai ir
descobrir descobrir
a o
verdadeira verdadeiro
milícia milícia
digital digital
que que
é ser
da de_o
esquerda esquerda
e e
vai ir
chegar chegar
no em_o
governo governo
Lula lula
é ser
por por
isso isso
E e
aí aí
como como
o o
senhor senhor
tem ter
lado lado
o o
senhor senhor
ataa ataa
à a_o
direita direita
Isso isso
é ser
uma um
vergonha vergonha
Vamos ir
então então
à a_o
outra outro
fala fala
do de_o
ministro ministro
por por
no em_o
Brasil brasil
esse esse
Ataque ataque
ao a_o
judiciário judiciário
e e
foi ser
muito muito
mais mais
amplificado amplificar
porque porque
No em_o
Brasil brasil
existe existir
a o
justiça justiça
eleitoral eleitoral
então então
ao a_o
mesmo mesmo
tempo tempo
o o
ataque ataque
é ser
o o
segundo segundo
Pilar pilar
da de_o
Democracia democracia
os o
instrumentos instrumento
que que
levam levar
a o
democracia democracia
o o
voto voto
e e
o o
terceiro terceiro
Pilar pilar
a o
independência independência
do de_o
Judiciário judiciário
no em_o
Brasil brasil
isso isso
se se
misturou misturar
porque porque
é ser
o o
poder poder
judiciário judiciário
por por
meio meio
da de_o
Justiça justiça
Eleitoral eleitoral
que que
organiza organizar
realiza realizar
administra administrar
e e
julga julgar
as o
eleições eleição
ah ah
segundo segundo
ele ele
os o
ataques ataque
ao a_o
judiciário judiciário
é ser
porque porque
a o
justiça justiça
eleitoral eleitoral
que que
representa representar
o o
judiciário judiciário
e e
comanda comandar
todo todo
o o
processo processo
eleitoral eleitoral
não não
é ser
então então
por por
causa causa
das de_o
eleições eleição
eles eles
recebem receber
ataque ataque
eu eu
vou ir
avivar avivar
a o
memória memória
do de_o
ministro ministro
de de
todos todo
vocês você
quando quando
Alexandre alexandre
Moraes moraes
assumiu assumir
o o
TSE tse
foi ser
Baixada baixar
uma um
resolução resolução
ao a_o
arrepio arrepio
da de_o
Lei lei
dando dar
a a
ele ele
todo todo
o o
para para
ele ele
poder poder
suspender suspender
rede rede
social social
de de
quem quem
bem bem
ele ele
entendesse entender
de de
quem quem
bem bem
ele ele
quis querer
e e
não não
quer querer
receber receber
crítica crítico
que que
ele ele
chama chamar
de de
ataque ataque
não não
quer querer
ser ser
criticado criticar
por por
uma um
uma um
homologação homologação
gente gente
é ser
é ser
um um
negócio negócio
assim assim
assustador assustador
minha meu
gente gente
uma um
resolução resolução
frontalmente frontalmente
contra contra
ao a_o
arrepio arrepio
da de_o
Lei lei
eleitoral eleitoral
e e
não não
quer querer
ser ser
criticado criticar
ah ah
ô ô
Conta contar
outra outro
vamos ir
vamos ir
ao a_o
próximo próximo
vídeo vídeo
nós nós
não não
podemos poder
nos nós
enganar enganar
nós nós
não não
podemos poder
baixar baixar
a o
guarda guarda
não não
podemos poder
dar dar
uma um
de de
bamban bamban
contra contra
o o
popó popó
né né
que que
durou durar
36 36
segundos segundo
nós nós
temos ter
que que
ficar ficar
alertas alerta
e e
fortalecer fortalecer
a o
democracia democracia
fortalecer fortalecer
as o
instituições instituição
É é
verdade verdade
não não
podemos poder
baixar baixar
a o
guarda guarda
é ser
o o
o o
que que
nós nós
fizemos fazer
no em_o
dia dia
25 25
na em_o
Paulista pailista
porque porque
o o
povo povo
é ser
o o
supremo supremo
poder poder
acima acima
do de_o
Judiciário judiciário
do de_o
executivo executivo
e e
do de_o
legislativo legislativo
e e
nós nós
não não
vamos ir
ser ser
enganados enganar
por por
pseudos pseudos
salvadores salvador
da de_o
Democracia democracia
que que
rasgam rasgar
a o
constituição constituição
a a
seu seu
meor meor
prazer prazer
nós nós
fizemos fazer
isso isso
na em_o
Paulista pailista
temos ter
que que
fortalecer fortalecer
a o
democracia democracia
e e
fortalecer fortalecer
a o
democracia democracia
é ser
respeitar respeitar
a o
vontade vontade
soberana soberano
do de_o
Povo povo
vamos ir
ao a_o
próximo próximo
vídeo vídeo
e e
regulamentar regulamentar
o o
que que
precisa precisar
ser ser
regulamentado regulamentar
nós nós
não não
podemos poder
cair cair
nesse em_esse
discurso discurso
fácil fácil
de de
que que
regulamentar regulamentar
as o
redes rede
sociais social
é ser
ser ser
contra contra
a o
liberdade liberdade
de de
expressão expressão
isso isso
é ser
um um
discurso discurso
mentiroso mentiroso
que que
pretende pretender
propagar propagar
e e
continuar continuar
propagando propagar
de de
óo óo
a o
lavagem lavagem
cerebral cerebral
que que
é ser
feita fazer
em em
Milhões milhão
e e
milhões milhão
de de
pessoas pessoa
eu eu
brinco brincar
sempre sempre
uma um
brincadeira brincadeira
séria sério
que que
para para
mim eu
bastaria bastar
um um
artigo artigo
na em_o
lei lei
o o
que que
não não
pode poder
no em_o
mundo mundo
real real
não não
pode poder
no em_o
mundo mundo
virtual virtual
essa esse
parte parte
do de_o
discurso discurso
é ser
a o
cereja cereja
do de_o
bolo bolo
eu eu
vou ir
destacar destacar
quatro quatro
coisas coisa
que que
a o
regulamentação regulamentação
das de_o
redes rede
sociais social
é ser
mentira mentira
dizer dizer
que que
isso isso
vai ir
cont cont
liberdade liberdade
de de
expressão expressão
não não
é ser
verdade verdade
eu eu
vou ir
provar provar
com com
o o
seu seu
ato ato
em em
2023 @card@
o o
senhor senhor
