abra abrir
a o
sua seu
bíblia bíblia
na em_o
primeira primeiro
carta carta
de de
paulo paulo
aos a_o
coríntios coríntio
capítulo capítulo
12 12
eu eu
vou ir
ler ler
o o
versículo versículo
do de_o
versículo versículo
12 12
a a
14 14
e e
27 27
ea ea
minha meu
palavra palavra
vai ir
girar girar
em em
torno torno
até até
o o
versículo versículo
28 28
primeira primeiro
carta carta
de de
paulo paulo
aos a_o
coríntios coríntio
capítulo capítulo
12 12
do de_o
versículo versículo
12 12
a a
14 14
depois depois
27 27
porque porque
assim assim
como como
o o
corpo corpo
é ser
um um
item item
muitos muito
membros membro
de de
todos todo
os o
membros membro
sendo ser
muitos muito
são ser
um um
só só
corpo corpo
assim assim
é ser
cristo cristo
também também
pois pois
todos todo
nós nó
fomos ser
batizados batizar
em em
um um
espírito espírito
formando formar
um um
copo copo
que que
a a
judeus judeu
que que
gregos grego
que que
servos servo
quer quer
livres livre
e e
todos todo
temos ter
bebido beber
de de
um um
espírito espírito
porque porque
também também
o o
corpo corpo
não não
é ser
um um
só só
membro membro
mas mas
muitos muito
versículo versículo
27 27
ora ora
vós vós
sois ser
o o
corpo corpo
de de
cristo cristo
e e
os o
seus seu
membros membro
em em
particular particular
eu eu
quero querer
falar falar
sobre sobre
igreja igreja
a o
unidade unidade
dos de_o
membros membro
em em
um um
choque choque
ocorreu ocorrer
por por
isso isso
que que
eu eu
quero querer
tratar tratar
aqui aqui
com com
vocês você
aqui aqui
na em_o
minha meu
rapidíssima rapidíssima
introdução introdução
não não
é ser
a o
eclésia eclésia
né né
a o
assembléia assembléia
dos de_o
santos santo
você você
já já
sabe saber
e e
não não
custa custar
nada nada
é ser
voltar voltar
a a
informar informar
você você
que que
é ser
importante importante
você você
saber saber
que que
só só
existe existir
em em
corpo corpo
é ser
o o
que que
nós nós
vemos ver
no em_o
versículo versículo
12 12
em em
corpo corpo
porque porque
assim assim
como como
o o
corpo corpo
é ser
o o
1 1
a o
igreja igreja
de de
cristo cristo
forma forma
um um
corpo corpo
nu nu
formador formador
nem nem
3 3
forma forma
em em
copo copo
quando quando
jesus jesus
falou falar
mateus mateu
16 16
18 18
eu eu
edificarei edificar
a o
única único
igreja igreja
né né
eu eu
indiquei indicar
a o
única único
minha meu
possessivo possessivo
igreja igreja
então então
a o
igreja igreja
de de
cristo cristo
é ser
uma um
mas mas
como como
é ser
que que
tem ter
assembléia assembléia
de de
deus deus
batista batista
metodista metodista
a a
universal universal
você você
está estar
fazendo fazer
confusão confusão
com com
denominações denominação
certo certar
a o
igreja igreja
é ser
uma um
é ser
o o
que que
nós nós
chamamos chamar
do de_o
corpo corpo
místico místico
de de
cristo cristo
são ser
as o
pessoas pessoa
que que
entregaram entregar
a o
sua seu
vida vida
cristo cristo
que que
obedecem obedecer
a o
palavra palavra
de de
deus deus
estão estar
lembrados lembrar
do de_o
corpo corpo
de de
cristo cristo
em em
uma um
denominação denominação
ok ok
isto isto
é ser
a o
igreja igreja
de de
cristo cristo
agora agora
a o
importância importância
da de_o
unidade unidade
dos de_o
membros membro
no em_o
corpo corpo
de de
cristo cristo
primeiro primeiro
quero querer
tratar tratar
sobre sobre
isso isso
porque porque
é ser
importante importante
da de_o
unidade unidade
dos de_o
membros membro
no em_o
corpo corpo
de de
cristo cristo
é ser
importar importar
já já
disso de_isso
primeiro primeiro
uma um
questão questão
de de
sobrevivência sobrevivência
nenhum nenhum
membro membro
sobrevive sobreviver
fora fora
do de_o
corpo corpo
e e
nenhum nenhum
corpo corpo
sobrevive sobreviver
se se
não não
estiver estar
ligado ligar
à a_o
cabeça cabeça
essa esse
analogia analogia
de de
corpo corpo
humano humano
com com
igreja igreja
e e
cristo cristo
é ser
para para
você você
entender entender
a o
importância importância
da de_o
igreja igreja
membros membro
só só
vivem viver
só só
produzem produzir
só só
são ser
que que
são ser
se se
estiverem estar
ligados ligar
a a
outros outro
membros membro
no em_o
copo copo
corpos corpo
só só
age agir
só só
faz fazer
porque porque
está estar
ligado ligar
à a_o
cabeça cabeça
ea ea
cabeça cabeça
e e
cristo cristo
então então
por por
uma um
questão questão
de de
sobrevivência sobrevivência
porque porque
se se
o o
corpos corpo
se se
os o
membros membro
funcionam funcionar
o o
corpo corpo
funciona funcionar
seus seu
membros membro
não não
fosse ser
o o
não não
o o
corpo corpo
não não
funciona funcionar
e e
morre morrer
isso isso
é ser
importante importante
você você
entender entender
você você
precisa precisar
entender entender
a o
importância importância
do de_o
reconhecimento reconhecimento
da de_o
dependência dependência
eu eu
reconheço reconhecer
que que
a o
minha meu
sobrevivência sobrevivência
espiritual espiritual
depende depender
de de
deus deus
tá estar
ligado ligar
com com
outros outro
membros membro
no em_o
corpo corpo
é ser
o o
que que
diz dizer
o o
texto texto
para para
o o
que que
diz dizer
o o
versículo versículo
21 21
e e
22 22
e e
o o
olho olho
não não
pode poder
dizer dizer
a o
mão mão
não não
tem ter
necessidade necessidade
tirem tirar
da de_o
cabeça cabeça
aos a_o
pés pé
não não
tem ter
necessidade necessidade
de de
voz voz
antes antes
os o
membros membro
do de_o
corpo corpo
que que
parece parecer
ser ser
os o
mais mais
fracos fraco
são ser
os o
mais mais
necessários necessário
você você
tem ter
que que
entender entender
e e
conhecer conhecer
a o
sua seu
dependência dependência
imagina imaginar
se se
o o
fígado fígado
resolve resolver
dizer dizer
não não
vou ir
funcionar funcionar
o o
fígado fígado
do de_o
teu teu
corpo corpo
é ser
responsável responsável
por por
mais mais
de de
200 200
funções função
se se
ele ele
não não
quiser querer
funcionar funcionar
vai ir
destruir destruir
muitos muito
membros membro
do de_o
corpo corpo
então então
há haver
uma um
dependência dependência
de de
um um
dos de_o
outros outro
você você
não não
sobrevive sobreviver
na em_o
vida vida
espiritual espiritual
se se
você você
pensar pensar
que que
você você
não não
precisa precisar
do de_o
outro outro
irmão irmão
que que
está estar
sentado sentar
e e
do de_o
teu teu
lado lado
mesmo mesmo
que que
você você
não não
tem ter
intimidade intimidade
com com
ele ele
o o
reconhecimento reconhecimento
da de_o
importância importância
não não
é ser
questão questão
de de
soberba soberbo
pa pa
é ser
questão questão
de de
responsabilidade responsabilidade
não não
é ser
questão questão
de de
soberba soberbo
é ser
de de
responsabilidade responsabilidade
você você
é ser
importante importante
no em_o
corpo corpo
de de
cristo cristo
não não
vamos ir
lá lá
olha olhar
o o
versículo versículo
22 22
ao a_o
24 24
os o
mais muito
fracos fraco
são ser
necessário necessário
necessários necessário
e e
os o
que que
reputamos reputar
serem ser
menos menos
honrosos honroso
no em_o
corpo corpo
a a
esses esse
ramos ramo
muito muito
mais mais
e e
acho achar
que que
em em
nós nós
ou ou
menos menos
de de
corós corós
estamos estar
muito muito
mais mais
honra honrar
porque porque
os o
que que
em em
nós nós
são ser
mais mais
honestos honesto
não não
tem ter
necessidade necessidade
disso de_isso
mas mas
deus deus
assim assim
formou formar
o o
corpo corpo
dando dar
muito muito
mais mais
honra honrar
aqui aqui
a a
ao a_o
que que
tinha ter
falta falta
dela de_ela
olha olhar
que que
coisa coisa
incrível incrível
está estar
sendo ser
dito dizer
aqui aqui
aquilo aquilo
que que
