tão tão
dos de_o
deveres dever
políticos político
do de_o
Cristão cristão
eu eu
tô tô
falando falar
sobre sobre
Cristão cristão
e e
a o
política política
então então
fora fora
do de_o
contexto contexto
do de_o
batismo batismo
eu eu
quero querer
trazer trazer
uma um
palavra palavra
sobre sobre
isso isso
que que
nós nós
temos ter
perto perto
de de
um um
processo processo
eleitoral eleitoral
e e
eu eu
quero querer
te tu
mostrar mostrar
a o
luz luz
da de_o
Bíblia bíblia
Tá estar
certo certo
nós nós
estamos estar
assim assim
fora fora
do de_o
contexto contexto
do de_o
culto culto
que que
é ser
feito fazer
de de
batismo batismo
tá estar
lembrando lembrar
aos a_o
pastores pastor
que que
quando quando
terminar terminar
a o
minha meu
palavra palavra
corte cortar
a o
transmissão transmissão
porque porque
cada cada
um um
vai ir
realizar realizar
o o
batismo batismo
nós nós
estamos estar
batizando batizar
hoje hoje
em em
nosso nosso
campo campo
na em_o
nossa nosso
igreja igreja
Não não
é ser
em em
todas todo
as o
nossas nosso
igrejas igreja
1429 @card@
pessoas pessoa
glória glória
a a
Deus deus
aqui aqui
209 @card@
pessoas pessoa
vão ir
ser ser
batizadas batizar
daqui de_aqui
a a
pouquinho pouco
tá estar
bom bom
então então
vamos ir
a o
palavra palavra
nós nós
vamos ir
ler ler
dois dois
textos texto
da de_o
palavra palavra
de de
Deus deus
um um
conhecidíssimo conhecido
que que
a a
palavras palavra
do de_o
Senhor senhor
Jesus jesus
Mateus mateus
22:21 @card@
quando quando
mostraram mostrar
uma um
moeda moeda
do de_o
tributo tributo
e e
perguntaram perguntar
se se
era ser
lícito lícito
pagar pagar
tributo tributo
a a
César césar
a o
resposta resposta
de de
Jesus jesus
foi foi
dai dar
A o
César césar
o o
quer querer
de de
César césar
e e
dai dar
a a
Deus deus
o o
que que
é ser
de de
Deus deus
com com
essa esse
palavra palavra
Jesus jesus
não não
está estar
eliminando eliminar
a o
vida vida
da de_o
Cidadania cidadania
terrena terreno
dai dar
A o
César césar
o o
que que
é ser
de de
César césar
César césar
representa representar
o o
poder poder
temporal temporal
representa representar
a o
cidadania cidadania
terrena terreno
e e
dai dar
a a
Deus deus
o o
que que
é ser
de de
Deus deus
representa representar
a o
cidadania cidadania
Celestial celestial
e e
o o
apóstolo apóstolo
Paulo paulo
ele ele
fala falar
em em
romanos romano
13:7 @card@
né né
13:7 @card@
a o
carta carta
que que
a o
carta carta
que que
nós nós
estamos estar
estudando estudar
aqui aqui
na em_o
nossa nosso
igreja igreja
estamos estar
terminando terminar
hoje hoje
esse esse
ensino ensino
de de
Romanos romano
13:7 @card@
portanto portanto
dai dar
a a
cada cada
um um
que que
de de
vez vez
a a
quem quem
tributo tributar
tributo tributo
a a
quem quem
imposto imposto
imposto impor
a a
quem quem
temor temor
temor temor
e e
a a
quem quem
honra honrar
honra honra
Paulo paulo
nesse em_esse
capítulo capítulo
tá estar
tratando tratar
da de_o
Cidadania cidadania
terrena terreno
então então
o o
tema tema
da de_o
minha meu
palavra palavra
é ser
o o
Cristão cristão
e e
a o
política política
é ser
isso isso
que que
eu eu
vou ir
tratar tratar
com com
você você
aqui aqui
nessa em_esse
manhã manhã
que que
é ser
de de
suma sumo
importância importância
aqui aqui
numa em_um
palavra palavra
introdutória introdutório
a o
prática prática
de de
Jesus jesus
a o
prática prática
comum comum
de de
Jesus jesus
era ser
ensinar ensinar
tá estar
lá lá
em em
Marcos marcos
10-1 @card@
que que
ele ele
quando quando
reúne reunir
a o
multidão multidão
ele ele
ensina ensinar
como como
estava estar
acostumado acostumar
a a
fazer fazer
em em
Atos ato
1 1
quando quando
vai ir
falar falar
do de_o
tratado tratado
não não
é ser
que que
está estar
sendo ser
encaminhado encaminhar
diz dizer
olha olhar
aqui aqui
está estar
escrito escrever
tudo tudo
quanto quanto
o o
senhor senhor
fazia fazer
e e
ensinava ensinar
isso isso
aqui aqui
é ser
muito muito
importante importante
esse esse
detalhe detalhe
ensinar ensinar
produz produzir
conhecimento conhecimento
e e
conhecimento conhecimento
é ser
levado levar
para para
sua seu
memória memória
de de
longo longo
prazo prazo
a a
memória memória
de de
longo longo
prazo prazo
é ser
onde onde
você você
registra registrar
fatos fato
marcantes marcante
da de_o
sua seu
vida vida
e e
o o
que que
você você
aprende aprender
informações informação
elas ele
podem poder
ficar ficar
na em_o
memória memória
de de
curto curto
prazo prazo
e e
logo logo
são ser
esquecidas esquecer
por por
isso isso
que que
as o
redes rede
sociais social
o o
objetivo objetivo
delas de_elas
é ser
informar informar
e e
lamentavelmente lamentavelmente
informar informar
coisas coisa
até até
deturpadas deturpar
então então
rede rede
social social
não não
produz produzir
conhecimento conhecimento
produz produzir
informação informação
por por
isso isso
que que
eu eu
tô tô
tratando tratar
desse de_esse
assunto assunto
não não
é ser
para para
produzir produzir
informação informação
é ser
para para
produzir produzir
conhecimento conhecimento
porque porque
o o
papel papel
de de
Jesus jesus
não não
era ser
informar informar
o o
papel papel
de de
Jesus jesus
era ser
produzir produzir
conhecimento conhecimento
que que
ele ele
conhece conhecer
o o
que que
é ser
o o
ser ser
humano humano
ele ele
é ser
o o
criador criador
de de
todas todo
as o
coisas coisa
e e
ele ele
sabe saber
que que
o o
que que
uma um
pessoa pessoa
aprende aprender
vai ir
lá lá
para para
a o
memória memória
de de
longo longo
prazo prazo
por por
isso isso
que que
Jesus jesus
ensinava ensinar
nós nós
o o
povo povo
Pentecostal pentecostal
nós nós
queremos querer
muito muito
mais mais
a o
pregação pregação
do de_o
que que
eu eu
ensino ensino
né né
porque porque
mexe mexer
na em_o
nossa nosso
emoção emoção
o o
Pregador pregador
Pentecostal pentecostal
com com
a o
retumbância retumbância
Pentecostal pentecostal
Então então
se se
prefere preferir
isso isso
a o
pregação pregação
tem ter
ensino ensino
mas mas
só só
pregação pregação
para para
motivação motivação
emocional emocional
ela ela
não não
é ser
boa bom
a o
pregação pregação
que que
vem vir
com com
ensino ensino
Ok ok
então então
ensinar ensinar
tudo tudo
que que
nós nós
estamos estar
tratando tratar
aqui aqui
é ser
para para
ensinar ensinar
você você
não não
é ser
apenas apenas
para para
soltar soltar
uma um
informação informação
Como como
eu eu
disse dizer
Jesus jesus
está estar
falando falar
da de_o
Cidadania cidadania
terrena terreno
e e
da de_o
Cidadania cidadania
Celestial celestial
o o
apóstolo apóstolo
Paulo paulo
em em
romanos romano
13 13
tá estar
falando falar
dos de_o
deveres dever
da de_o
Cidadania cidadania
mas mas
em em
Atos ato
Capítulo capítulo
16 16
do de_o
versículo versículo
35 35
ao a_o
40 40
Paulo paulo
vai ir
falar falar
dos de_o
direitos direito
da de_o
Cidadania cidadania
quando quando
prendem prendar
o o
apóstolo apóstolo
Paulo paulo
sem sem
julgamento julgamento
e e
querem querer
que que
ele ele
saia sair
da de_o
cidade cidade
eles eles
não não
vão ir
sair sair
daqui de_aqui
não não
eu eu
fui ser
preso prender
sem sem
julgamento julgamento
eu eu
sou ser
Cida cida
humano humano
ele ele
não não
atendeu atender
porque porque
ele ele
tava tava
reivindicando reivindicar
o o
direito direito
da de_o
Cidadania cidadania
aqui aqui
na em_o
minha meu
introdução introdução
uma um
outra outro
coisa coisa
que que
o o
povo povo
de de
Deus deus
tem ter
que que
entender entender
quando quando
a o
Bíblia bíblia
diz dizer
em em
Mateus mateus
6:33 @card@
mas mas
Buscai buscai
primeiro primeiro
o o
reino reino
de de
Deus deus
é ser
sua seu
