abra abrir
a o
sua seu
bíblia bíblia
em em
provérbios provérbio
capítulo capítulo
20 20
e e
versículo versículo
5 5
é ser
fácil fácil
achar achar
provérbios provérbio
né né
provérbios provérbio
capítulo capítulo
20 20
e e
versículo versículo
5 5
diz dizer
assim assim
provérbios provérbio
só só
pra pra
deixar deixar
como como
texto texto
base base
aqui aqui
capítulo capítulo
20 20
versículo versículo
15 15
como como
águas água
profundas profundo
é ser
o o
conselho conselho
no em_o
coração coração
do de_o
homem homem
mas mas
o o
homem homem
de de
inteligência inteligência
ou ou
tirará tirar
para para
fora fora
né né
o o
homem homem
de de
inteligência inteligência
traz trazer
práticas prática
que que
o o
texto texto
quer querer
dizer dizer
antes antes
que que
eu eu
prego pregar
quase quase
esqueço esquecer
tá estar
aqui aqui
conosco conosco
pastor pastor
joaquim joaquim
caetano caetano
veterano veterano
joaquim joaquim
caetano caetano
com com
a o
sua seu
digna digno
esposa esposo
fica ficar
de de
pé pé
queria querer
que que
desce descer
um um
aplauso aplauso
ele ele
é ser
escritor escritor
de de
muitos muito
livros livro
best-seller best-seller
da de_o
nossa nosso
editora editora
de de
revistas revista
de de
escola escola
dominical dominical
é ser
um um
mestre mestre
na em_o
palavra palavra
e e
nosso nosso
amigo amigo
amigo amigo
da de_o
igreja igreja
e e
amigo amigo
de de
muitos muito
anos ano
vamos ir
lá lá
eu eu
quero querer
dar dar
aqui aqui
alguns algum
conselhos conselho
para para
uma um
vida vida
vitoriosa vitorioso
é ser
que que
eu eu
quero querer
fazer fazer
alguns algum
conselhos conselho
para para
você você
evidente evidente
que que
eu eu
vou ir
dar dar
alguns algum
conselhos conselho
e e
quem quem
vai ir
querer querer
esporos esporo
conselhos conselho
a a
você você
o o
texto texto
que que
acabei acabar
de de
ler ler
não não
adianta adiantar
o o
conselho conselho
entrar entrar
lá lá
no em_o
teu teu
coração coração
se se
você você
não não
trouxer trazer
para para
a o
prática prática
da de_o
sua seu
vida vida
então então
eu eu
vou ir
te tu
dar dar
aqui aqui
algum algum
alguns algum
conselhos conselho
que que
podem poder
servir servir
para para
a o
sua seu
vida vida
não não
apenas apenas
aqui aqui
para para
duas dois
horas hora
de de
conto conto
pra pra
sua seu
vida vida
seja ser
na em_o
vida vida
material material
seja ser
na em_o
vida vida
emocional emocional
seja ser
na em_o
vida vida
espiritual espiritual
então então
vamos ir
lá lá
o o
primeiro primeiro
conselho conselho
é ser
esse esse
aqui aqui
priorize priorize
o o
ser ser
e e
não não
o o
ter ter
tem ter
muita muito
gente gente
correndo correr
atrás atrás
do de_o
t t
e e
acaba acabar
não não
tendo ter
nada nada
e e
na em_o
verdade verdade
a o
pessoa pessoa
que que
priorizo priorizar
ter ter
muitas muito
vezes vez
ela ela
termina terminar
ou ou
tem ter
a o
sua seu
história história
marcada marcar
por por
ganância ganância
e e
egoísmo egoísmo
e e
frustração frustração
que que
é ser
tanto tanto
que que
é ser
tanto tanto
que que
é ser
tanto tanto
que que
é ser
tanto tanto
dá dar
tanta tanto
ênfase ênfase
no em_o
terra terra
que que
acaba acabar
ficando ficar
frustrado frustrar
porque porque
não não
consegue conseguir
aquilo aquilo
que que
tanto tanto
queria querer
agora agora
deixa deixar
eu eu
te tu
falar falar
uma um
coisa coisa
meu meu
amado amado
só só
de de
falar falar
uma um
coisa coisa
pra pra
você você
e e
te tu
você você
primeiro primeiro
precisa precisar
organizar organizar
o o
seu seu
interior interior
isso isso
é ser
o o
seu seu
ser ser
essa esse
é ser
o o
problema problema
o o
problema problema
é ser
que que
as o
pessoas pessoa
querem querer
ter ter
mas mas
não não
estão estar
organizadas organizar
emocionalmente emocionalmente
mentalmente mentalmente
é ser
espiritualmente espiritualmente
pra pra
ter ter
por por
isso isso
que que
jesus jesus
em em
mateus mateus
capítulo capítulo
5 5
versículo versículo
18 18
19 19
quando quando
ele ele
diz dizer
olha olhar
é é
do de_o
coração coração
do de_o
ser ser
que que
para para
saber saber
as o
coisas coisa
maus mau
pensamentos pensamento
homicídios homicídio
adultérios adultério
isso isso
contamina contaminar
o o
homem homem
então então
como como
uma um
pessoa pessoa
quer querer
te tu
se se
não não
está estar
organizado organizar
o o
ser ser
aí aí
quando quando
tem ter
não não
sabe saber
usar usar
e e
aí aí
quando quando
tem ter
faz fazer
bobagem bobagem
e e
aí aí
quando quando
tem ter
joga jogar
fora fora
e e
aí aí
quando quando
tem ter
-se se
transpasse transpassar
fará fazer
loucura loucura
e e
dar dar
meu meu
querido querer
minha meu
queridinha querido
organize organizar
os o
é ser
o o
primeiro primeiro
pra pra
depois depois
é ser
o o
terceiro terceiro
que que
é ser
importante importante
pra pra
você você
você você
é ser
marcado marcar
pelo por_o
ser ser
e e
não não
pelo por_o
ter ter
ser ser
homem homem
ser ser
mulher mulher
ser ser
bom bom
ser ser
vendido vender
a a
ser ser
trabalhador trabalhador
ser ser
pai pai
ser ser
mãe mãe
ser ser
cidadão cidadão
ser ser
patrão patrão
ser ser
funcionário funcionário
exemplar exemplar
nós nós
somos ser
mar mar
os o
pêlos pêlo
e e
aos a_o
círculos círculo
marca marca
ea ea
palavra palavra
de de
deus deus
ela ela
dá dar
ênfase ênfase
ao a_o
céu céu
o o
primeiro primeiro
do de_o
que que
o o
ter ter
e e
mateus mateus
5 5
48 48
jesus jesus
diz dizer
sede sede
perfeitos perfazer
como como
é ser
perfeito perfazer
o o
vosso vosso
pai pai
que que
está estar
nos em_o
céus céu
e e
jesus jesus
fala falar
em em
mateus mateu
5 5
13 13
14 14
olha olhar
o o
que que
vocês você
têm ter
que que
ser ser
sal sal
da de_o
terra terra
e e
luz luz
do de_o
mundo mundo
c c
a o
primeira primeiro
timóteo timóteo
4 4
12 12
olha olhar
o o
que que
você você
tem ter
que que
ser ser
exemplo exemplo
dos de_o
fiéis fiel
apocalipse apocalipse
2 2
/ /
10 10
olha olhar
o o
que que
você você
tem ter
que que
ser ser
ser ser
fiel fiel
até até
a o
morte morte
olha olhar
o o
que que
você você
tem ter
que que
ser ser
diz dizer
primeiro primeiro
a a
pedro pedro
11 11
15 15
16 16
sede sede
santos santo
porque porque
eu eu
sou ser
santo santo
olha olhar
o o
que que
você você
tem ter
que que
ser ser
efésios efésio
5 5
18 18
seja ser
cheio cheio
do de_o
espírito espírito
santo santo
a o
gente gente
deu dar
é ser
o o
cheiro cheiro
e e
olha olhar
pra pra
você você
ter ter
um um
ser ser
preparado preparar
olha olhar
o o
que que
a o
bíblia bíblia
manda mandar
você você
ser ser
além além
de de
thiago thiago
22 22
sede sede
cumpridores cumpridor
da de_o
palavra palavra
e e
não não
apenas apenas
ouvintes ouvinte
porque porque
aquele aquele
que que
é ser
o o
20 20
é ser
como como
o o
varão varão
que que
se se
contempla contemplar
no em_o
espelho espelho
quando quando
se se
vai ir
se se
esquece esquecer
do de_o
que que
era ser
então então
a o
palavra palavra
de de
deus deus
dá dar
ênfase ênfase
no em_o
céu céu
porque porque
tem ter
pessoas pessoa
que que
podem poder
terra terra
e e
ao a_o
t t
são ser
infelizes infeliz
halter halter
não não
são ser
pessoas pessoa
que que
estão estar
equilibradas equilibrar
consigo com_si
