salmo salmo
115 115
versículo versículo
3 3
fácil fácil
né né
fácil fácil
saulo saulo
115 115
3 3
fácil fácil
de de
achar achar
legal legal
é ser
quando quando
é ser
na em_o
um um
habacuque habacuque
a a
meu meu
deus deus
oculta ocultar
cabe caber
o o
cliente cliente
não não
acha achar
o o
habacuque habacuque
sou ser
fonia fonia
sair sair
do de_o
desespero desespero
é ser
não não
está estar
acostumado acostumar
com com
a o
escola escola
dominical dominical
também também
não não
está estar
acostumado acostumar
- -
é ser
a o
bíblia bíblia
mas mas
só só
uma um
mulherzinha mulherzinha
né né
saulo saulo
santo santo
e e
15 15
versículo versículo
3 3
vou ir
deixar deixar
que que
os o
versículo versículo
como como
é ser
base base
mas mas
o o
nosso nosso
deus deus
está estar
nos em_o
céus céu
faz fazer
tudo tudo
o o
que que
ia ir
à a_o
praia praia
você você
pode poder
repetir repetir
só só
comércio comércio
mas mas
aleluia aleluia
aleluia aleluiar
queridão queridão
querida querer
eu eu
quero querer
falar falar
pra pra
você você
aqui aqui
esta este
noite noite
uma um
palavra palavra
bem bem
simples simples
mas mas
para para
você você
entender entender
um um
pouquinho pouco
só só
um um
pouquinho pouco
da de_o
grandeza grandeza
do de_o
deus deus
que que
nós nós
servimos servir
eu eu
quero querer
dizer dizer
pra pra
você você
que que
o o
deus deus
que que
nós nós
servimos servir
está estar
no em_o
controle controle
de de
todas todo
as o
coisas coisa
é ser
sobre sobre
isso isso
que que
eu eu
vou ir
falar falar
que que
deus deus
está estar
no em_o
controle controle
de de
todas todo
as o
coisas coisa
nós nós
vamos ir
aqui aqui
algumas algum
considerações consideração
que que
o o
jogo jogo
muito muito
importante importante
para para
você você
entender entender
isso isso
número número
1 1
estava estar
no em_o
controle controle
não não
significa significar
interferir interferir
no em_o
processo processo
24 24
horas hora
por por
dia dia
sete sete
dias dia
na em_o
semana semana
e e
365 @card@
dias dia
no em_o
ano ano
está estar
no em_o
controle controle
significa significar
ter ter
autoridade autoridade
para para
interferir interferir
no em_o
processo processo
a o
hora hora
que que
quer querer
do de_o
jeito jeito
que que
quer querer
sem sem
pedir pedir
licença licença
a a
ninguém ninguém
deus deus
está estar
no em_o
controle controle
agora agora
presta presto
atenção atenção
que que
eu eu
vou ir
te tu
falar falar
mais mais
o o
ser ser
humano humano
está estar
no em_o
comando comando
deus deus
está estar
no em_o
controle controle
mas mas
ele ele
permite permitir
que que
o o
cheiro cheiro
humano humano
escreveu escrever
a o
história história
chama chamar
-se se
vontade vontade
permissiva permissivo
de de
deus deus
então então
você você
está estar
no em_o
comando comando
da de_o
sua seu
vida vida
e e
deus deus
está estar
no em_o
controle controle
significa significar
que que
ele ele
pode poder
interferir interferir
a o
qualquer qualquer
hora hora
no em_o
processo processo
eu eu
vou ir
te tu
dar dar
uma um
ideia ideia
para para
você você
entender entender
melhor melhor
isso isso
por por
exemplo exemplo
eu eu
estou estar
falando falar
de de
paz paz
não não
de de
pai pai
naka naka
ok ok
pai pai
pai pai
mãe mãe
você você
tem ter
o o
controle controle
da de_o
sua seu
casa casa
mas mas
seu seu
filho filho
entra entrar
uma um
hora hora
sai sair
a o
hora hora
muda mudar
o o
quarto quarto
dele de_ele
está estar
no em_o
controle controle
mas mas
ele ele
estava estar
escrevendo escrever
a o
sua seu
história história
de de
nossa nosso
casa casa
só só
que que
você você
tem ter
o o
poder poder
de de
interferir interferir
na em_o
hora hora
que que
você você
quiser querer
aqui aqui
você você
não não
vai ir
fazer fazer
isso isso
aqui aqui
vai ir
ser ser
assim assim
você você
está estar
no em_o
controle controle
mas mas
permite permitir
o o
outro outro
fazer fazer
várias várias
coisas coisa
de de
uma um
coisa coisa
uma um
empresa empresa
você você
imagina imaginar
a o
empresa empresa
tem ter
o o
dono dono
da de_o
empresa empresa
e e
quanto quanto
a o
empresa empresa
está estar
ainda ainda
mais mais
interessante interessante
tá estar
aqui aqui
ó ó
a o
cúpula cúpula
de de
uma um
empresa empresa
está estar
no em_o
controle controle
mas mas
aqui aqui
tem ter
diretores diretor
têm ter
gerente gerente
que que
tem ter
autonomia autonomia
para para
fazer fazer
um um
monte monte
de de
coisa coisa
mas mas
quem quem
é ser
dono dono
quem quem
é ser
presidente presidente
do de_o
conselho conselho
de de
administração administração
quem quem
tá estar
aqui aqui
no em_o
comando comando
ele ele
pode poder
interferir interferir
no em_o
processo processo
a a
qualquer qualquer
hora hora
aqui aqui
a o
igreja igreja
aqui aqui
ó ó
aqui aqui
a o
igreja igreja
eu eu
tenho ter
várias várias
igrejas igreja
filiadas filiar
tac tac
pastores pastor
que que
estão estar
aqui aqui
que que
dirige dirigir
a o
igreja igreja
o o
pastor pastor
lá lá
com com
vida vida
que que
ele ele
quer querer
só só
não não
pode poder
pecar pecar
ele ele
pode poder
fazer fazer
pode poder
fazer fazer
culto culto
de de
tudo tudo
que que
a o
campanha campanha
que que
ele ele
quer querer
e e
tal tal
ele ele
tem ter
autonomia autonomia
mas mas
de de
vez vez
em em
quando quando
eu eu
digo dizer
aqui aqui
fulano fulano
de de
tal tal
não não
prega pregar
aqui aqui
quando quando
eu eu
digo dizer
não não
pega pegar
aqui aqui
não não
pega pegar
o o
lugar lugar
nenhum nenhum
da de_o
defrec defrec
beltrano beltrano
não não
canta cantar
aqui aqui
que que
eu eu
tome tomar
o o
controle controle
e e
porque porque
eu eu
tô tô
no em_o
controle controle
também também
de de
vez vez
em em
quando quando
tivessem ter
filho filho
aí aí
eu eu
mando mandar
com com
o o
segundo segundo
serva servo
do de_o
senhor senhor
ali ali
que que
está estar
ali ali
pra pra
você você
ver ver
como como
é ser
que que
eu eu
estou estar
no em_o
controle controle
que que
eu eu
nem nem
ligo ligar
pastor pastor
o o
pastor pastor
diz dizer
assim assim
o o
pastor pastor
silas silas
mandou mandar
se se
despedir despedir
domingo domingo
da de_o
igreja igreja
eu eu
vou ir
pegar pegar
o o
telefone telefone
para para
ligar ligar
olha olhar
por por
favor favor
entrega entregar
à a_o
igreja igreja
e e
viu ver
eu eu
tomo tomo
conta contar
aí aí
então então
eu eu
digo dizer
você você
sair sair
dessa de_esse
igreja igreja
está estar
no em_o
controle controle
não não
significa significar
que que
você você
está estar
manipulando manipular
o o
processo processo
tempo tempo
inteiro inteiro
significa significar
que que
você você
tem ter
poder poder
e e
autoridade autoridade
para para
interferir interferir
no em_o
processo processo
agora agora
vamos ir
a o
prova prova
dos de_o
nove nove
se se
deus deus
está estar
no em_o
controle controle
de de
todas todo
as o
número número
um um
deus deus
tem ter
que que
estar estar
no em_o
controle controle
do de_o
mundo mundo
espiritual espiritual
porque porque
se se
deus deus
não não
tiver ter
o o
controle controle
do de_o
mundo mundo
espiritual espiritual
ele ele
não não
pode poder
controlar controlar
todas todo
as o
coisas coisa
vão ir
mais mais
fundo fundo
ainda ainda
deus deus
tem ter
que que
ter ter
poder poder
sobre sobre
o o
mundo mundo
espiritual espiritual
de de
satanás satanás
se se
deus deus
não não
tiver ter
poder poder
sobre sobre
o o
mundo mundo
espiritual espiritual
do de_o
diabo diabo
não não
está estar
no em_o
controle controle
vamos ir
a o
prova prova
dos de_o
nove nove
vou ir
lembrar lembrar
pra pra
vocês você
o o
caso caso
de de
jó jó
pra pra
você você
ver ver
se se
tem ter
tem ter
tem ter
gente gente
por por
aí aí
vocês você
aqui aqui
não não
tem ter
jeito jeito
também também
no em_o
rio rio
de de
janeiro janeiro
não não
sei saber
que que
dunga dunga
para para
um um
leigo leigo
lo lo
de de
barra barra
um um
troço troço
desses de_esse
distante distante
pra pra
que que
a o
gente gente
faz fazer
tanta tanto
apologia apologia
ao a_o
diabo diabo
que que
você você
fica ficar
pensando pensar
que que
deus deus
ganha ganhar
do de_o
