povo povo
abençoado abençoar
do de_o
Brasil brasil
há haver
mais mais
de de
2 2
anos ano
insistentemente insistentemente
em em
diversos diversos
vídeos vídeo
eu eu
venho vir
chamando chamar
e e
provando provar
que que
Alexandre alexandre
de de
Moraes moraes
é ser
o o
ditador ditador
da de_o
toga toga
não não
com com
Fake fake
News news
mas mas
com com
Fatos fato
e e
com com
a o
constituição constituição
preste preste
atenção atenção
a a
que que
eu eu
vou ir
te tu
falar falar
ele ele
introduz introduzir
de de
novo novo
no em_o
Brasil brasil
o o
crime crime
de de
opinião opinião
preste preste
atenção atenção
um um
estado estado
democrático democrático
a o
opinião opinião
é ser
livre livre
na em_o
ditadura ditadura
a o
opinião opinião
é ser
crime crime
é ser
o o
que que
acontece acontecer
nas em_o
Nações nações
comunistas comunista
e e
nos em_o
Estados estados
onde onde
você você
tem ter
poderes poder
totalitários totalitário
Então então
vamos ir
à a_o
constituição constituição
desde desde
1988 1988
O o
que que
que que
a o
constituição constituição
nos nós
diz dizer
Artigo artigo
5 5
Inciso inciso
4 4
o o
artigo artigo
5º 5º
é ser
cláusula cláusula
pétria pétria
ninguém ninguém
pode poder
mudar mudar
é ser
livre livre
a o
manifestação manifestação
do de_o
pensamento pensamento
inciso inciso
de de
número número
se se
é ser
Inviolável inviolável
a o
liberdade liberdade
de de
crença crença
e e
de de
consciência consciência
inciso inciso
8 8
ninguém ninguém
será ser
privado privar
de de
direitos direito
por por
motivo motivo
de de
crença crença
religiosa religioso
convicção convicção
filosófica filosófico
ou ou
política político
artigo artigo
220 @card@
parágrafo parágrafo
2º 2º
é ser
vedada vedar
a o
censura censura
no em_o
Brasil brasil
Então então
olhe olhar
só só
eu eu
vou ir
te tu
provar provar
isso isso
em em
2018 @card@
agora agora
pouco pouco
tempo tempo
atrás atrás
O o
deputado deputado
do de_o
PT pt
Vadir vadir
dam dam
disse dizer
em em
alto alto
e e
bom bom
som som
tem ter
que que
fechar fechar
o o
STF stf
uau uau
não não
é ser
crime crime
contra contra
o o
estado estado
não não
é ser
opinião opinião
depois depois
José josé
Dirceu dirceu
ter ter
sido ser
liberado liberar
por por
pegar pegar
mais mais
de de
30 30
anos ano
de de
cadeia cadeia
por por
corrupção corrupção
e e
ser ser
liberado liberar
pelo por_o
STF stf
ele ele
humilha humilhar
o o
STF stf
dizendo dizer
tem ter
que que
tirar tirar
o o
poder poder
do de_o
STF stf
não não
pode poder
considerar considerar
o o
STF stf
um um
poder poder
e e
o o
poder poder
de de
investigação investigação
do de_o
Ministério ministério
Público público
ai ai
não não
é ser
atentado atentar
contra contra
o o
estado estado
democrático democrático
de de
direito direito
não não
é ser
opinião opinião
o o
que que
aconteceu acontecer
com com
eles eles
nada nada
vou ir
um um
pouquinho pouco
atrás atrás
em em
2016 @card@
quando quando
Alexandre alexandre
de de
Moraes moraes
era ser
Ministro ministro
da de_o
Justiça justiça
de de
temer temer
olha olhar
o o
que que
o o
PT pt
colocou colocar
no em_o
seu seu
site site
não não
adianta adiantar
arrancar arrancar
porque porque
eu eu
printei printei
e e
olha olhar
o o
Twitter twitter
que que
o o
PT pt
fez fazer
olha olhar
o o
que que
ele ele
diz dizer
você você
sabia saber
que que
o o
Ministro ministro
Alexandre alexandre
Moraes moraes
Ministro ministro
golpista golpista
da de_o
Justiça justiça
recebeu receber
4 4
milhões milhão
de de
empresa empresa
investigada investigar
pela por_o
pf pf
não não
aconteceu acontecer
nada nada
e e
Pelo por_o
que que
eu eu
saiba saber
Alexandre alexandre
de de
Moraes moraes
não não
processou processar
o o
PT pt
ah ah
liberdade liberdade
de de
expressão expressão
agora agora
ouça ouvir
cuidadosamente cuidadosamente
até até
2019 @card@
ninguém ninguém
teve ter
rede rede
social social
suspensa suspender
ou ou
foi ser
processado processar
por por
opinião opinião
hã hã
março março
de de
2019 @card@
Alexandre alexandre
de de
Moraes moraes
assume assumir
o o
inquérito inquérito
imoral imoral
e e
ilegal ilegal
de de
fake fake
News news
é ser
imoral imoral
e e
ilegal ilegal
porque porque
não não
tem ter
a o
participação participação
do de_o
Ministério ministério
Público público
Como como
manda mandar
a o
constituição constituição
a a
partir partir
daí de_aí
Alexandre alexandre
de de
Moraes moraes
institui instituir
o o
crime crime
de de
opinião opinião
5 5
anos ano
de de
inquérito inquérito
do de_o
fim fim
do de_o
mundo mundo
que que
promove promover
verdadeira verdadeiro
perseguição perseguição
política político
eu eu
pergunto perguntar
a a
vocês você
Qual qual
é ser
o o
crime crime
do de_o
jornalista jornalista
Osvaldo osvaldo
Eustáquio eustáquio
Qual qual
o o
crime crime
que que
é ser
que que
ele ele
matou matar
alguém alguém
roubou roubar
não não
foi ser
pra pra
cadeia cadeia
e e
ainda ainda
teve ter
um um
acidente acidente
ficou ficar
paraplégico paraplégico
Olha olhar
que que
coisa coisa
terrível terrível
crime crime
de de
opinião opinião
Alan alan
dos de_o
Santos santos
se se
refugiou refugiar
nos em_o
Estados estados
Unidos unidos
por por
causa causa
de de
quê quê
matou matar
alguém alguém
roubou roubar
crime crime
de de
opinião opinião
para para
não não
ser ser
preso prender
no em_o
Brasil brasil
agora agora
o o
grave grave
Daniel daniel
Silveira silveira
foi ser
preso prender
com com
a o
conivência conivência
do de_o
seu seu
Artur artur
Lira lira
e e
da de_o
maioria maioria
dos de_o
deputados deputado
e e
com com
agravante agravante
o o
artigo artigo
53 53
da de_o
Constituição constituição
diz dizer
que que
deputados deputado
e e
senadores senador
são ser
invioláveis inviolável
civil civil
e e
penalmente penalmente
por por
opiniões opinião
votos voto
e e
palavras palavra
Qual qual
é ser
o o
crime crime
dele de_ele
opinião opinião
redes rede
sociais social
sendo ser
censuradas censurar
de de
Deputados deputado
de de
cidadãos cidadão
ao a_o
leu leu
prazer prazer
Qual qual
crime crime
crime crime
de de
opinião opinião
instituído instituir
por por
Alexandre alexandre
de de
Moraes moraes
minha meu
gente gente
A a
Saga saga
do de_o
ditador ditador
da de_o
toga toga
não não
para para
por por
aí aí
em em
2023 @card@
Ele ele
ameaçou ameaçar
suspender suspender
o o
telegram telegram
sabe saber
por por
quê quê
o o
telegram telegram
enviou enviar
um um
comunicado comunicado
de de
alerta alerta
a a
seus seu
usuários usuário
sobre sobre
o o
perigo perigo
de de
se se
aprovar aprovar
o o
projeto projeto
de de
lei lei
2630 @card@
/ /
2020 @card@
o o
projeto projeto
de de
censura censura
Ele ele
ameaçou ameaçar
o o
telegram telegram
telegram telegram
teve ter
que que
remover remover
conteúdos conteúdo
para para
não não
ser ser
suspenso suspender
o o
jornalista jornalista
internacional internacional
da de_o
Rede rede
Globo globo
Jorge jorge
pontual pontual
ele ele
fala falar
que que
ficou ficar
admirado admirar
de de
ver ver
jornalistas jornalista
apoiando apoiar
censura censura
e e
ele ele
diz dizer
uma um
coisa coisa
Espetacular espetacular
sobre sobre
a o
liberdade liberdade
de de
expressão expressão
Olha olhar
o o
que que
que que
ele ele
fala falar
uma um
autoridade autoridade
não não
pode poder
decidir decidir
o o
que que
é ser
verdade verdade
e e
o o
que que
é ser
mentira mentira
o o
que que
é ser
fake fake
News news
e e
o o
que que
não não
é ser
cabe caber
às a_o
pessoas pessoa
e e
ao a_o
público público
aos a_o
cidadãos cidadão
decidirem decidir
não não
é ser
o o
autoridade autoridade
que que
decide decidir
o o
que que
é ser
fake fake
News news
ou ou
que que
não não
é ser
o o
que que
é ser
verdade verdade
ou ou
mentira mentira
e e
outra outro
não não
só só
nas em_o
redes rede
sociais social
em em
qualquer qualquer
lugar lugar
se se
você você
caluniar caluniar
difamar difamar
injuriar injuriar
é é
crime crime
já já
tem ter
lei lei
não não
precisa precisar
de de
uma um
lei lei
que que
na em_o
verdade verdade
é ser
uma um
verdadeira verdadeiro
censura censura
eu eu
estou estar
mostrando mostrar
Fatos fato
e e
tem ter
mais mais
minha meu
gente gente
Alexandre alexandre
de de
Moraes moraes
ele ele
comanda comandar
o o
inquérito inquérito
das de_o
milícias milícia
digitais digital
eu eu
faço fazer
uma um
pergunta pergunta
a a
ele ele
por por
que que
ele ele
não não
colocou colocar
a ela
choquei choquei
a o
madit madit
nesse em_esse
inquérito inquérito
hã hã
Por por
que que
não não
porque porque
a o
mate mate
é ser
uma um
plataforma plataforma
que que
possui possuir
a o
grande grande
parte parte
dos de_o
perfis perfil
que que
apoiam apoiar
o o
governo governo
Lula lula
e e
aí aí
nós nós
vamos ir
descobrir descobrir
quem quem
são ser
as o
verdadeiras verdadeiro
milícias milícia
digitais digital
nós nós
estamos estar
assistindo assistir
o o
Brasil brasil
um um
consórcio consórcio
do de_o
Mal mal
Globo globo
Alexandre alexandre
de de
Moraes moraes
e e
governo governo
Lula lula
quer querer
que que
eu eu
prove provar
ó ó
primeiro primeiro
Alexandre alexandre
de de
Moraes moraes
numa em_um
canetada canetada
suspendeu suspender
as o
multas multa
milionárias milionário
da de_o
Receita receita
Federal federal
a a
Globo globo
artistas artista
e e
jornalistas jornalista
a o
Globo globo
virou virar
Imprensa imprensa
Oficial oficial
de de
Alexandre alexandre
Moraes moraes
agora agora
no em_o
caso caso
de de
Elon elon
mosque mosque
a o
Globo globo
dá dar
notícia notícia
mas mas
não não
faz fazer
Nenhuma nenhum
crítica crítico
Alexandre alexandre
Moraes moraes
e e
coloca colocar
o o
quê quê
coloca colocar
Lula lula
Olha olhar
o o
consórcio consórcio
aí aí
Lula lula
governo governo
Lula lula
sobe subir
o o
Tom tom
contra contra
Elon elon
mosque mosque
porque porque
ataca atacar
o o
STF stf
aí aí
coloca colocar
o o
Twitter twitter
hã hã
do de_o
lulista lulista
petista petista
esquerdopata esquerdopata
Advogado advogado
Geral geral
da de_o
União união
Jorge jorge
Messias messias
olha olhar
o o
que que
ele ele
fala falar
gente gente
só só
uma um
aberturinha aberturinha
ó ó
ó ó
é ser
uma um
é é
é ser
urgente urgente
regulamentar regulamentar
as o
redes rede
sociais social
Olha olhar
o o
que que
eles eles
querem querer
censurar censurar
o o
povo povo
sabe saber
por por
quê quê
Porque porque
eles eles
não não
não não
conseguem conseguir
controlar controlar
o o
povo povo
nas em_o
redes rede
sociais social
Porque porque
grande grande
parte parte
da de_o
Imprensa imprensa
já já
é ser
controlada controlar
por por
verbas verba
milionárias milionário
e e
mais mais
uma um
nenhuma nenhum
repito repetir
nenhuma nenhum
nação nação
democrática democrático
do de_o
mundo mundo
tem ter
controle controle
de de
opinião opinião
do de_o
Povo povo
em em
suas seu
redes rede
sociais social
Elon elon
mosk mosk
está estar
fazendo fazer
mais mais
pela por_o
democracia democracia
do de_o
Brasil brasil
do de_o
que que
grande grande
parte parte
dos de_o
deputados deputado
comandados comandar
pelo por_o
se se
Artur artur
Lira lira
do de_o
que que
grande grande
parte parte
dos de_o
senadores senador
comandados comandar
pelo por_o
Senor senor
Rodrigo rodrigo
Pacheco pacheco
O o
Senado senado
tem ter
moral moral
e e
constitucional constitucional
de de
abrir abrir
uma um
profunda profundo
CPI cpi
para para
investigar investigar
as o
ilegalidades ilegalidade
e e
os o
atentados atentado
do de_o
ditador ditador
da de_o
toga toga
Alexandre alexandre
de de
Moraes moraes
contra contra
o o
estado estado
democrático democrático
de de
direito direito
agora agora
olha olhar
a o
piada piada
do de_o
ano ano
olha olhar
Alexandre alexandre
Moraes moraes
