caramba caramba
sabia saber
que que
eu eu
tinha ter
tanta tanto
importância importância
moloney moloney
respondendo responder
às a_o
minhas meu
críticas crítica
hoje hoje
que que
é ser
admirado admirar
e e
um um
pastor pastor
o o
pessoal pessoal
diz dizer
que que
o o
pastor pastor
num em_um
não não
tem ter
influência influência
opinião opinião
vale valer
ok ok
jazz jazz
é ser
uma um
coisa coisa
pra pra
vocês você
um um
bom bom
campo campo
de de
agradecer agradecer
porque porque
você você
está estar
me eu
dando dar
a o
oportunidade oportunidade
de de
mostrar mostrar
que que
você você
é ser
um um
mentiroso mentiroso
cínico cínico
e e
dissimular dissimular
marca marca
dos de_o
esquerdopatas esquerdopatas
não não
vou ir
te tu
provar provar
você você
na em_o
sua seu
fala fala
disse dizer
que que
as o
minhas meu
críticas crítica
à a_o
você você
tem ter
a a
ver ver
eu eu
sou ser
amigo amigo
de de
longa longo
data data
de de
eduardo eduardo
cunha cunha
e e
como como
você você
foi ser
um um
dos de_o
mais mais
veementes veemente
oradores orador
pra para_o
cassação cassação
de de
eduardo eduardo
cunha cunhar
eu eu
então então
que que
sou ser
amigo amigo
de de
eduardo eduardo
cunha cunha
de de
longas longo
datas data
estava estar
então então
te tu
atacando atacar
é é
eu eu
vou ir
começar começar
pelo por_o
que que
não não
é ser
mas mas
jogou jogar
fazer fazer
uma um
conjectura conjectura
mesmo mesmo
mesmo mesmo
se se
eu eu
tivesse ter
sido ser
a o
liga liga
ou ou
sou ser
amigo amigo
de de
longas longo
datas data
de de
eduardo eduardo
cunha cunhar
até até
não não
tem ter
problema problema
nenhum nenhum
só só
porque porque
é ser
que que
você você
se se
amigo amigo
de de
uma um
pessoa pessoa
uma um
coisa coisa
a o
questão questão
é ser
você você
continuar continuar
concordando concordar
com com
a o
pessoa pessoa
depois depois
que que
a o
sujeira sujeira
vem vir
pra pra
fora fora
eu eu
não não
sou ser
você você
eu eu
não não
sou ser
você você
só só
com com
o o
painel painel
twitter twitter
tá estar
de de
agosto agosto
de de
2015 @card@
para para
cá cá
tem ter
vários vários
twitter twitter
facebook facebook
e e
vídeos vídeo
eu eu
dizendo dizer
dilma dilma
renan renan
e e
eduardo eduardo
cunha cunha
tem ter
que que
ser ser
cassado cassar
você você
não não
você você
só só
falou falar
de de
eduardo eduardo
cunha cunhar
porque porque
isso isso
é ser
coisa coisa
dos de_o
esquerdopatas esquerdopatas
os o
esquerdopatas esquerdopatas
faz fazer
o o
seguinte seguinte
aos a_o
inimigos inimigo
o o
rigor rigor
máximo grande
da de_o
lei lei
para para
as o
coisas coisa
lhe ele
mínimas pequeno
aos a_o
amigos amigo
a a
impunidade impunidade
o o
governo governo
mais mais
corrupto corrupto
da de_o
história história
do de_o
país país
que que
saqueou saquear
o o
país país
a a
petrobras petrobra
12 12
milhões milhão
empregado empregar
e e
deixou deixar
economia economia
arrasada arrasado
foi ser
o o
governo governo
de de
dilma dilma
e e
você você
nunca nunca
usou usar
a o
tribuna tribuna
falar falar
nada nada
contra contra
esse esse
governo governo
você você
ficou ficar
caladinho caladinho
porque porque
porque porque
você você
nunca nunca
deixou deixar
de de
ser ser
petista petista
você você
é ser
um um
dissimulado dissimular
agora agora
eu eu
vou ir
quebrar quebrar
a o
a o
tua tua
palavra palavra
mostrar mostrar
sua seu
mentira mentira
nas em_o
últimas último
seis seis
legislaturas legislatura
de de
deputado deputado
e e
estou estar
falando falar
de de
mais mais
de de
24 24
anos ano
quatro quatro
vezes vez
quatro quatro
legislaturas legislatura
japonesa japonês
apóia apoiar
arolde arolde
de de
oliveira oliveira
4 4
uma um
delas de_elas
eu eu
