povo povo
abençoado abençoar
do de_o
Brasil brasil
com com
certeza certeza
absoluta absoluto
Esse esse
é ser
o o
vídeo vídeo
mais mais
importante importante
que que
eu eu
fiz fazer
até até
hoje hoje
eu eu
vou ir
destruir destruir
essa esse
a o
palavra palavra
eu eu
vou ir
detonar detonar
o o
argumento argumento
a a
narrativa narrativa
bandida bandido
da de_o
Imprensa imprensa
que que
diz dizer
que que
bolsonaro bolsonaro
tentou tentar
dar dar
golpe golpe
e e
essa esse
narrativa narrativa
de de
minuta minuta
de de
golpe golpe
e e
eu eu
vou ir
detonar detonar
eles eles
com com
a o
própria próprio
reportagem reportagem
deles de_eles
eu eu
vou ir
mostrar mostrar
reportagem reportagem
de de
Globo globo
e e
da de_o
veja ver
não não
preciso preciso
nem nem
falar falar
da de_o
folha folha
que que
é ser
a o
mesma mesmo
coisa coisa
é ser
impressionante impressionante
uma um
coisa coisa
é ser
o o
depoimento depoimento
do de_o
ex-comandante ex-comandante
do de_o
exército exército
General general
Freire freire
Gomes gomes
outra outro
coisa coisa
é ser
a o
narrativa narrativa
da de_o
Imprensa imprensa
Olha olhar
presta presto
atenção atenção
a a
manchete manchete
da de_o
matéria matéria
sobre sobre
o o
depoimento depoimento
do de_o
General general
a o
polícia polícia
federal federal
a a
própria próprio
Manchete manchete
já já
começa começar
a a
desmontar desmontar
a o
narrativa narrativa
deles de_eles
porque porque
a o
manchete manchete
é ser
verdadeira verdadeiro
Olha olhar
o o
que que
que que
diz dizer
aí aí
ó ó
bolsonaro bolsonaro
apresentou apresentar
hipótese hipótese
de de
lo lo
garantia garantia
da de_o
lei lei
da de_o
ordem ordem
artigo artigo
142 142
da de_o
Constituição constituição
estado estado
de de
defesa defesa
e e
Estado estado
de de
Sítio sítio
do de_o
artigo artigo
136 @card@
ao a_o
139 @card@
da de_o
Constituição constituição
Brasileira brasileira
diz dizer
ex-comandante ex-comandante
do de_o
exército exército
apf apf
só só
a o
manchete manchete
já já
detona detonar
eles eles
tudo tudo
isso isso
é ser
constituição constituição
e e
é ser
legal legal
não não
tem ter
nada nada
de de
golpe golpe
o o
general general
nunca nunca
fala falar
em em
golpe golpe
no em_o
seu seu
depoimento depoimento
Então então
vou ir
mostrar mostrar
partes parte
do de_o
depoimento depoimento
dos de_o
General general
que que
tá estar
no em_o
Globo globo
ele ele
prestando prestar
depoimento depoimento
à a_o
polícia polícia
federal federal
preste preste
atenção atenção
gente gente
isso isso
isso isso
é ser
um um
negócio negócio
muito muito
sério sério
olha olhar
aqui aqui
aos a_o
investigadores investigador
Freires freire
Gomes gomes
disse dizer
que que
se se
recordava recordar
de de
ter ter
participado participar
de de
reunião reunião
no em_o
Palácio palácio
da de_o
Alvorada alvorada
após após
o o
segundo segundo
turno turno
das de_o
eleições eleição
em em
que que
então então
Presidente presidente
da de_o
República república
Jair jair
bolsonaro bolsonaro
apresentou apresentar
hipótese hipótese
hipótese hipótese
de de
utilização utilização
de de
instrumento instrumento
jurídico jurídico
como como
glo glo
que que
eu eu
já já
disse dizer
o o
que que
que que
é é
tá estar
tá estar
na em_o
Constituição constituição
estado estado
de de
defesa defesa
estado estado
de de
sítio sítio
em em
relação relação
ao a_o
processo processo
eleitoral eleitoral
onde onde
está estar
o o
golpe golpe
em em
lugar lugar
nenhum nenhum
constituição constituição
depoimento depoimento
do de_o
General general
um um
outro outro
trecho trecho
do de_o
depoimento depoimento
General general
sobre sobre
fala fala
de de
bolsonaro bolsonaro
tá estar
aí aí
vou ir
só só
destacar destacar
isso isso
aqui aqui
ó ó
restauração restauração
do de_o
Estado estado
democrático democrático
de de
direito direito
jogando jogar
de de
forma forma
condicional condicional
dentro dentro
das de_o
quatro quatro
linhas linha
isso isso
é ser
da de_o
Constituição constituição
com com
base base
em em
disposição disposição
expressas expressar
da de_o
constituição constituição
federal federal
de de
1988 1988
tá estar
aí aí
isso isso
é ser
fala falar
do de_o
General general
depoimento depoimento
sobre sobre
que que
o o
bolsonaro bolsonaro
falou falar
não não
tem ter
nada nada
de de
golpe golpe
absolutamente absolutamente
nada nada
tem ter
mais mais
gente gente
tem ter
mais muito
parte parte
do de_o
depoimento depoimento
do de_o
ex-comandante ex-comandante
do de_o
exército exército
a o
polícia polícia
federal federal
onde onde
ele ele
não não
cita citar
golpe golpe
Olha olhar
tá estar
no em_o
Globo globo
olha olhar
aí aí
ó ó
tem ter
mais mais
essa esse
aí aí
ó ó
no em_o
segundo segundo
Encontro encontro
de de
bolsonaro bolsonaro
com com
os o
comandantes comandante
das de_o
Forças forças
Armadas armadas
o o
então então
Presidente presidente
apresentou apresentar
uma um
versão versão
do de_o
documento documento
com com
a o
decretação decretação
do de_o
Estado estado
de de
defesa defesa
e e
a o
criação criação
da de_o
comissão comissão
de de
regularidade regularidade
eleitoral eleitoral
com com
objetivo objetivo
de de
apurar apurar
a o
conformidade conformidade
e e
legalidade legalidade
do de_o
processo processo
eleitoral eleitoral
onde onde
é ser
que que
existe existir
golpe golpe
deixa deixar
eu eu
te tu
dizer dizer
uma um
coisa coisa
Estado estado
de de
defesa defesa
estado estado
de de
sítio sítio
o o
presidente presidente
Tem ter
que que
apresentar apresentar
um um
monte monte
de de
considerandos considerandos
submeter submeter
a a
seu seu
conselho conselho
tem ter
que que
aprovação aprovação
do de_o
congresso congresso
nacional nacional
não não
é ser
um um
ato ato
da de_o
sua seu
caneta caneta
perfeitamente perfeitamente
legal legal
Onde onde
é ser
que que
tem ter
golpe golpe
gente gente
isso isso
é ser
uma um
vergonha vergonha
artigo artigo
142 142
só só
o o
presidente presidente
pode poder
convocar convocar
as o
forças força
armadas armar
não não
tem ter
golpe golpe
nenhum nenhum
falácia falácia
Total total
narrativa narrativa
vaga vago
abunda abundar
fake fake
News news
da de_o
Imprensa imprensa
esse esse
documento documento
que que
cita citar
o o
artigo artigo
142 142
o o
artigo artigo
do de_o
136 @card@
ao a_o
139 @card@
é ser
o o
que que
eles eles
chamam chamar
de de
minuta minuta
de de
golpe golpe
fake fake
News news
da de_o
Imprensa imprensa
agora agora
eu eu
vou ir
mostrar mostrar
dentro dentro
dessa de_esse
matéria matéria
a o
narrativa narrativa
bandida bandido
da de_o
jornalista jornalista
Como como
eu eu
disse dizer
um um
verdadeiro verdadeiro
fake fake
News news
da de_o
Imprensa imprensa
cinco cinco
vezes vez
ela ela
fala falar
em em
golpe golpe
não não
o o
general general
não não
o o
depoimento depoimento
é ser
a o
narrativa narrativa
dela de_ela
só só
vou ir
mostrar mostrar
o o
detalhe detalhe
tá estar
aí aí
na em_o
matéria matéria
ó ó
primeiro primeiro
ó ó
tá estar
aí aí
ó ó
abaixo abaixo
da de_o
Manchete manchete
Olha olhar
o o
que que
que que
ela ela
bota botar
aí aí
ela ela
diz dizer
assim assim
minuta minuta
golpista golpista
depois depois
em em
outro outro
lugar lugar
ela ela
Ele ele
discutiu discutir
minuta minuta
golpista golpista
depois depois
em em
outro outro
lugar lugar
da de_o
matéria matéria
minuta minuta
golpista golpista
apreendida apreender
em em
outro outro
lugar lugar
da de_o
matéria matéria
viabilidade viabilidade
de de
algum algum
decreto decreto
golpista golpista
em em
outro outro
lugar lugar
da de_o
matéria matéria
reuniões reunião
golpistas golpista
é ser
a o
narrativa narrativa
dela de_ela
não não
é ser
a o
fala fala
do de_o
General general
em em
depoimento depoimento
que que
vergonha vergonha
Olha olhar
o o
absurdo absurdo
da de_o
revista revista
Veja veja
na em_o
primeira primeiro
coluna coluna
golpe golpe
confirmado confirmar
é ser
o o
depoimento depoimento
General general
não não
tem ter
nada nada
de de
golpe golpe
tem ter
artigos artigo
da de_o
Constituição constituição
agora agora
na em_o
outra outro
coluna coluna
eles eles
mesmos mesmo
se se
contradizem contradizer
olha olhar
o o
que que
que que
tá estar
escrito escrever
aí aí
uma um
parte parte
olha olhar
eles eles
diz dizer
o o
seguinte seguinte
que que
bolsonaro bolsonaro
revelou revelar
que que
àquela a_aquele
altura altura
o o
documento documento
estava estar
em em
estudo estudo
e e
que que
eles eles
seriam ser
convocados convocar
posteriormente posteriormente
para para
tomarem tomar
conhecimento conhecimento
da de_o
evolução evolução
das de_o
discussões discussão
Que que
documento documento
é ser
esse esse
documento documento
baseado basear
no em_o
artigo artigo
142 142
do de_o
136 @card@
ao a_o
139 @card@
não não
tem ter
nada nada
de de
golpe golpe
gente gente
é ser
uma um
narrativa narrativa
bandida bandido
existem existir
exceções exceção
Mas mas
é ser
uma um
narrativa narrativa
bandida bandido
por por
grande grande
parte parte
da de_o
Imprensa imprensa
brasileira brasileiro
não não
tem ter
nada nada
de de
minuta minuta
de de
golpe golpe
nem nem
bolsonaro bolsonaro
tentor tentor
da de_o
golpe golpe
sabe saber
o o
que que
que que
eu eu
tô tô
observando observar
um um
verdadeiro verdadeiro
consórcio consórcio
de de
uma um
imprensa imprensa
parcial parcial
que que
tem ter
interesses interesse
políticos político
econômicos econômico
junto junto
do de_o
ditador ditador
da de_o
toga toga
Alexandre alexandre
Moraes moraes
juntos junto
do de_o
presidente presidente
comunista comunista
Lula lula
é ser
um um
consórcio consórcio
para para
tentar tentar
destruir destruir
bolsonaro bolsonaro
porque porque
eles eles
não não
têm ter
argumentos argumento
e e
é ser
para para
tentar tentar
na em_o
caneta caneta
e e
com com
narrativa narrativa
mentirosas mentiroso
enganar enganar
o o
povo povo
brasileiro brasileiro
destruir destruir
a o
reputação reputação
de de
bolsonaro bolsonaro
e e
colocar colocar
ele ele
na em_o
cadeia cadeia
esse esse
que que
é ser
o o
jogo jogo
tá estar
aí aí
gente gente
o o
o o
general general
Freire freire
Gomes gomes
o o
comandante comandante
aeronáutica aeronáutico
discordarem discordar
do de_o
documento documento
é ser
um um
direito direito
mas mas
eles eles
criam criar
narrativas narrativo
e e
manchetes manchete
sabe saber
para para
enganar enganar
o o
povo povo
induzir induzir
a o
opinião opinião
pública público
ao a_o
erro erro
essa esse
que que
é ser
a o
verdade verdade
Deus deus
tenha ter
a o
misericórdia misericórdia
do de_o
Brasil brasil
nos em_o
livre livre
dessa de_esse
gente gente
má má
perversa perverso
injusta injusto
Deus deus
abençoe abençoar
você você
e e
sua seu
[ [
Aplausos aplauso
] _
[ [
Música música
] _
família família
