povo povo
abençoado abençoar
do de_o
Brasil brasil
é ser
grave grave
gravíssima grave
a o
denúncia denúncia
do de_o
senador senador
fridão fridão
Amim amim
que que
é ser
membro membro
da de_o
comissão comissão
mista misturar
de de
controle controle
de de
atividades atividade
de de
inteligência inteligência
eu eu
vou ir
ler ler
aqui aqui
o o
papel papel
dessa de_esse
comissão comissão
para para
não não
errar errar
é é
órgão órgão
do de_o
Legislativo legislativo
para para
fiscalização fiscalização
e e
controle controle
externo externo
de de
atividades atividade
de de
inteligência inteligência
e e
contra contra
inteligência inteligência
a a
fim fim
de de
garantir garantir
que que
tais tal
ações ação
atendam atender
a o
Constituição constituição
Federal federal
e e
preservar preservar
o o
estado estado
democrático democrático
de de
direito direito
vamos ir
ver ver
a o
denúncia denúncia
grave grave
que que
ele ele
faz fazer
nessa em_esse
entrevista entrevista
contra contra
o o
ditador ditador
da de_o
toga toga
Alexandre alexandre
Moraes moraes
presta prestar
atenção atenção
mas mas
a o
conclusão conclusão
que que
eu eu
chego chegar
do de_o
que que
o o
senhor senhor
disse dizer
é é
que que
ain ain
está estar
fora fora
de de
controle controle
porque porque
o o
que que
o o
senhor senhor
pediu pedir
o o
Senhor senhor
não não
recebeu receber
não não
não não
recebi receber
por por
ódio ódio
do de_o
supremo supremo
o o
problema problema
que que
não não
aconteceu acontecer
nem nem
com com
está estar
nem nem
com com
o o
r r
nem nem
com com
o o
FBI fbi
é ser
que que
o o
chefe chefe
agora agora
é ser
o o
Ministro ministro
do de_o
Supremo supremo
isso isso
nem nem
na em_o
União união
Soviética soviética
aconteceu acontecer
e e
é ser
um um
Ministro ministro
do de_o
Supremo supremo
que que
nega negar
ao a_o
Senado senado
ao a_o
congresso congresso
as o
informações informação
ele ele
decreta decretar
sigilo sigilo
e e
as o
entidades entidade
no em_o
caso caso
Polícia polícia
Federal federal
corregedoria corregedoria
Geral geral
da de_o
União união
e e
Aim aim
não não
pode podar
nos nós
informar informar
por por
ordem ordem
dele de_ele
presta presto
bem bem
atenção atenção
o o
presidente presidente
do de_o
senado senado
hoje hoje
está estar
pedindo pedir
o o
nome nome
dos de_o
deputados deputado
que que
teriam ter
sido ser
os o
parlamentares parlamentar
teram teram
sido ser
espionados espionar
ele ele
tá estar
pedindo pedir
uma um
parte parte
do de_o
que que
nós nós
pedimos pedir
em em
outubro outubro
Senador senador
oer oer
fazer fazer
o o
informei informar
isto isto
eu eu
informei informar
isto isto
hoje hoje
ao a_o
Presidente presidente
Rodrigo rodrigo
Pacheco pacheco
a o
desconsideração desconsideração
tanto tanto
das de_o
agências agência
do de_o
Executivo executivo
quanto quanto
do de_o
Judiciário judiciário
em em
relação relação
a a
uma um
função função
constitucional constitucional
e e
legal legal
para para
cai cair
é ser
um um
absurdo absurdo
que que
faz fazer
parte parte
do de_o
abuso abuso
de de
autoridade autoridade
a o
coisa coisa
é ser
mais mais
complicada complicar
o o
Ministro ministro
Alexandre alexandre
Moraes moraes
proibiu proibir
que que
nós nós
fôssemos ir
informados informar
o o
Ministro ministro
Alexandre alexandre
Moraes moraes
proibiu proibir
que que
nós nós
fôssemos ir
informados informar
o o
Ministro ministro
Alexandre alexandre
Moraes moraes
proibiu proibir
que que
nós nós
fôssemos ir
informados informar
e e
sequer sequer
respondeu responder
ao a_o
nosso nosso
requerimento requerimento
de de
outubro outubro
tô tô
fazendo fazer
aqui aqui
uma um
colocação colocação
muito muito
séria sério
nós nós
temos ter
no em_o
STF stf
uma um
autoridade autoridade
que que
todas todo
essas esse
informações informação
para para
si si
para para
si si
e e
é ser
um um
juiz juiz
e e
é ser
o o
juiz juiz
da de_o
suprema supremo
corte corte
é ser
o o
mesmo mesmo
juiz juiz
do de_o
do de_o
inquérito inquérito
4781 @card@
que que
começou começar
em em
março março
de de
2019 @card@
é ser
o o
juiz juiz
que que
não não
é ser
juiz juiz
natural natural
porque porque
não não
foi ser
sorteado sortear
portanto portanto
nós nós
temos ter
hoje hoje
na em_o
verdade verdade
pior mau
do de_o
que que
a o
espionagem espionagem
é ser
a o
inquisição inquisição
nós nós
temos ter
uma um
inquisição inquisição
que que
está estar
sendo ser
promovida promover
pelo por_o
Supremo supremo
Tribunal tribunal
Federal federal
Isso isso
é ser
um um
absurdo absurdo
é ser
uma um
afronta afronta
a a
poder poder
legislativo legislativo
ele ele
negar negar
informações informação
a a
um um
órgão órgão
que que
tem ter
o o
dever dever
de de
controlar controlar
de de
saber saber
o o
que que
abim abim
polícia polícia
federal federal
e e
outros outro
fazem fazer
eu eu
pergunto perguntar
ao a_o
senhor senhor
presidente presidente
do de_o
senado senado
e e
senadores senador
vocês você
vão ir
deixar deixar
passar passar
isso isso
tem ter
que que
se se
abrir abrir
um um
processo processo
de de
impitma impitma
contra contra
esse esse
ditador ditador
Eu eu
Sei saber
dos de_o
riscos risco
que que
eu eu
corro correr
ao a_o
denunciar denunciar
esse esse
cara cara
ele ele
pode poder
usar usar
um um
outro outro
meio meio
dos de_o
judiciário judiciário
para para
me eu
atingir atingir
eu eu
bem bem
sei saber
como como
é ser
que que
funciona funcionar
a o
coisa coisa
não não
Ele ele
diretamente diretamente
usando usar
outros outro
mas mas
eu eu
não não
vou ir
me eu
calar calar
não não
tenho ter
medo medo
de de
ditadores ditador
esse esse
cara cara
tem ter
que que
tomar tomar
um um
impeachment impeachment
e e
ser ser
preso prender
ele ele
atenta atentar
contra contra
o o
estado estado
democrático democrático
de de
direito direito
e e
agora agora
e e
agora agora
um um
membro membro
da de_o
bim bim
foi ser
demitido demitir
por por
quê quê
Porque porque
vazou vazar
dados dado
do de_o
senador senador
gente gente
is i
É ser
uma um
vergonha vergonha
Flávio flávio
bolsonaro bolsonaro
se se
tem ter
uma um
abim abim
paralela paralelo
é ser
contra contra
bolsonaro bolsonaro
Que que
vergonha vergonha
Alexandre alexandre
de de
mora mora
gente gente
a o
coisa coisa
é ser
muito muito
séria sério
pressione pressionar
os o
senadores senador
Porque porque
o o
povo povo
é ser
o o
supremo supremo
poder poder
de de
uma um
nação nação
Deus deus
temha temha
misericórdia misericórdia
do de_o
nosso nosso
país país
Deus deus
abençoe abençoar
você você
e e
sua seu
