povo povo
abençoado abençoar
do de_o
Brasil brasil
eu eu
vou ir
provar provar
que que
o o
ditador ditador
morre morrer
da de_o
toca toca
Alexandre alexandre
de de
Moraes moraes
é ser
o o
Supremo supremo
Ministro ministro
da de_o
Justiça justiça
vamos ir
lembrar lembrar
é ser
ele ele
o o
responsável responsável
pelo por_o
inquérito inquérito
imoral imoral
ilegal ilegal
das de_o
fake fake
News news
sercio sercio
gente gente
em em
redes rede
sociais social
rasgando rasgar
o o
artigo artigo
5º 5º
inciso inciso
4 4
a o
liberdade liberdade
de de
expressão expressão
rasgando rasgar
o o
artigo artigo
220 @card@
parágrafo parágrafo
segundo segundo
é ser
vedado vedar
da de_o
censura censura
é ser
ele ele
que que
comanda comandar
o o
inquérito inquérito
sem sem
a o
participação participação
do de_o
Ministério ministério
Público público
é ser
obrigado obrigar
o o
Ministério ministério
Público público
a a
participar participar
é ser
o o
senhor senhor
da de_o
ação ação
penal penal
ele ele
rasga rasgar
o o
artigo artigo
129 @card@
ele ele
manda mandar
aprender aprender
a a
deputado deputado
rasga rasgar
o o
artigo artigo
53 53
ele ele
manda mandar
aprender aprender
pessoas pessoa
que que
pacificamente pacificamente
estava estar
em em
frente frente
ao a_o
QG qg
do de_o
exército exército
rasga rasgar
o o
artigo artigo
5º 5º
inciso inciso
6º 6º
é ser
livre livre
a o
manifestação manifestação
pacífica pacífico
e e
agora agora
senhores senhor
a o
vergonha vergonha
total total
e e
a o
prova prova
que que
ele ele
é ser
o o
Supremo supremo
Ministro ministro
da de_o
Justiça justiça
A o
baderna baderna
do de_o
dia dia
8 8
ele ele
manda mandar
aprender aprender
O o
Secretário secretário
de de
Segurança segurança
Pública pública
de de
Brasília brasília
que que
foi ser
ministro ministro
notícia notícia
de de
bolsonaro bolsonaro
não não
estava estar
aqui aqui
estava estar
no em_o
exterior exterior
o o
cara cara
tá estar
preso prender
até até
hoje hoje
e e
agora agora
vem vir
as o
cenas cena
da de_o
baderna baderna
e e
o o
ministro ministro
do de_o
GSI gsi
General general
Gonçalves gonçalves
que que
é ser
íntimo íntimo
do de_o
PT pt
há haver
20 20
anos ano
começou começar
a o
segurança segurança
de de
Lula lula
e e
Dilma dilma
mostrando mostrar
as o
manifestantes manifestante
a o
porta porta
de de
saída saída
senhor senhor
Supremo supremo
ministro ministro
da de_o
Injustiça injustiça
não não
vai ir
mandar mandar
prender prender
o o
general general
não não
vai ir
abrir abrir
inquérito inquérito
contra contra
o o
ministro ministro
da de_o
Justiça justiça
Flávio flávio
Dino dino
que que
prevalicou prevalicou
que que
parceria parceria
o o
senhor senhor
tem ter
com com
pt pt
hã hã
que que
convênio convênio
o o
senhor senhor
tem ter
com com
Lula lula
e e
o o
PT pt
Que que
injustiça injustiça
que que
vergonha vergonha
que que
moral moral
o o
Supremo supremo
Tribunal tribunal
tem ter
para para
julgar julgar
200 200
pessoas pessoa
quando quando
a o
maioria maioria
delas de_elas
não não
participou participar
de de
baderna baderna
e e
vou ir
lembrar lembrar
para para
os o
senhores senhor
o o
PT pt
e e
seus seu
puxadinhos puxado
cansaram cansar
de de
fazer fazer
baderna baderna
no em_o
Brasil brasil
em em
2014 @card@
o o
MST mst
tentou tentar
invadir invadir
o o
Supremo supremo
Tribunal tribunal
Federal federal
olha olhar
só só
30 30
estado estado
grave grave
Ministro ministro
tirados tirar
pela por_o
porta porta
dos de_o
fundos fundo
6 6
dos de_o
atuais atual
11 11
estavam estar
lá lá
Não não
fizeram fazer
nada nada
PTM ptm
seus seu
puxadinhos puxado
invadiram invadir
o o
Congresso congresso
Nacional nacional
tacaram tacarar
fogo fogo
no em_o
Ministério ministério
da de_o
Agricultura agricultura
ninguém ninguém
fez fazer
nada nada
isso isso
tudo tudo
é ser
caso caso
da de_o
Primeira primeira
Instância instância
e e
agora agora
né né
prendem prendar
um um
Secretário secretário
de de
Segurança segurança
Pública pública
que que
não não
tava tava
aqui aqui
e e
deixe deixar
um um
general general
solto soltar
Que que
vergonha vergonha
esses esse
que que
tinham ter
que que
ser ser
um um
exemplo exemplo
de de
Justiça justiça
mancha mancho
o o
judiciário judiciário
Qual qual
a o
moral moral
do de_o
STF stf
de de
julgar julgar
essas esse
pessoas pessoa
da de_o
baderna baderna
que que
moral moral
seu seu
Alexandre alexandre
de de
Morais morais
tem ter
Sabe saber
aquele aquele
qual qual
é ser
o o
problema problema
é ser
que que
nós nós
temos ter
um um
frouxo frouxo
comandando comandar
O o
Senado senado
Rodrigo rodrigo
Pacheco pacheco
tá estar
que que
tinha ter
que que
dar dar
um um
impeachment impeachment
nele em_ele
e e
a o
maioria maioria
dos de_o
senadores senador
tem ter
rabo rabo
preso prender
no em_o
STF stf
É ser
uma um
vergonha vergonha
é ser
a o
injustiça injustiça
prevalecendo prevalecer
no em_o
Brasil brasil
Deus deus
tem ter
a o
misericórdia misericórdia
