amém amém
vamos ir
então então
a o
palavra palavra
de de
deus deus
abra abrir
a o
sua seu
bíblia bíblia
na em_o
segunda segundo
carta carta
do de_o
apóstolo apóstolo
paulo paulo
aos a_o
coríntios coríntio
capítulo capítulo
4 4
versículo versículo
8 8
e e
o o
versículo versículo
9 9
segunda segundo
carta carta
de de
paulo paulo
aos a_o
coríntios coríntio
capítulo capítulo
4 4
versículo versículo
8 8
e e
9 9
diz dizer
o o
texto texto
da de_o
palavra palavra
de de
deus deus
em em
tudo tudo
somos ser
atribulados atribular
mas mas
não não
angustiados angustiar
perplexos perplexo
mas mas
não não
desanimados desanimar
perseguidos perseguir
mas mas
não não
desamparados desamparar
abatidos abater
mas mas
não não
destruídos destruir
eu eu
quero querer
trazer trazer
uma um
palavra palavra
pra pra
você você
que que
esse esse
texto texto
mostra mostrar
sobre sobre
os o
limites limite
do de_o
sofrimento sofrimento
é ser
interessante interessante
como como
o o
apóstolo apóstolo
paulo paulo
ele ele
estabelece estabelecer
limite limite
em em
tudo tudo
somos ser
atribulados atribular
mas mas
não não
angustiados angustiar
isso isso
é ser
tribulação tribulação
adversidades adversidade
lutas luta
até até
o o
limite limite
máximo grande
anterior anterior
angústia angústia
angústia angústia
não não
regulação regulação
sim sim
depois depois
ele ele
vai ir
colocar colocar
um um
outro outro
limite limite
o o
apóstolo apóstolo
paulo paulo
que que
nós nós
encontramos encontrar
aqui aqui
no em_o
texto texto
ele ele
está estar
dizendo dizer
lexus lexus
isso isso
é ser
sem sem
entender entender
nada nada
atônito atônito
sem sem
compreender compreender
o o
que que
está estar
acontecendo acontecer
até até
o o
limite limite
máximo grande
anterior anterior
o o
desânimo desânimo
desanimado desanimar
nunca nunca
é é
seguidos seguir
mas mas
não não
desamparados desamparar
isso isso
é ser
perseguido perseguir
até até
o o
limite limite
máximo grande
de de
alcançar alcançar
de de
alcançar alcançar
não não
porque porque
você você
não não
está estar
desamparada desamparar
abatidos abater
mas mas
não não
destruídos destruir
abatido abater
até até
o o
limite limite
máximo grande
anterior anterior
destruição destruição
destruído destruir
não não
então então
paulo paulo
ele ele
coloca colocar
limites limite
no em_o
sofrimento sofrimento
eu eu
vou ir
falar falar
para para
você você
entender entender
alguma algum
coisa coisa
sobre sobre
isso isso
ele ele
mostra mostrar
quatro quatro
limites limite
em em
angustiados angustiar
xuxa xuxa
mas mas
não não
desanimados desanimar
perseguidos perseguir
mas mas
não não
desamparar desamparar
ados ados
abatidos abater
mas mas
não não
destruídos destruir
então então
não não
podemos poder
dizer dizer
que que
a o
tribulação tribulação
se se
angustiar angustiar
não não
se se
pode poder
repetir repetir
eu eu
vou ir
começar começar
e e
vou ir
deixar deixar
você você
completar completar
isso isso
vou ir
repetir repetir
aqui aqui
sozinho sozinho
tá estar
tripulação tripulação
se se
angústia angústia
não não
vamos ir
lá lá
lá lá
eu eu
vou ir
começar começar
porque porque
fica ficar
mais mais
fácil fácil
estamos estar
com com
uma um
feira feira
livre livre
grande grande
aqui aqui
com com
essa esse
multidão multidão
aqui aqui
tá estar
tri tri
olha olhar
que que
coisa coisa
interessante interessante
o o
ser ser
humano humano
ele ele
pode poder
ter ter
uma um
vida vida
contribuindo contribuir
ações ação
mas mas
ele ele
não não
pode poder
viver viver
uma um
vida vida
com com
angústia angústia
ele ele
pode poder
ficar ficar
angustiado angustiado
viver viver
angustiado angustiado
não não
eu eu
vou ir
te tu
mostrar mostrar
isso isso
o o
ser ser
humano humano
pode poder
ter ter
uma um
vida vida
contribuições contribuição
às a_o
adversidades adversidade
as elas
muitas muitas
o o
dia dia
mal mal
pode poder
ter ter
angústia angústia
não não
há haver
a o
tribulação tribulação
a a
diversidade diversidade
a o
luta luta
ela ela
veio vir
para para
o o
ser ser
humano humano
o o
dia dia
que que
ele ele
pecou pecar
a o
bíblia bíblia
diz dizer
em em
romanos romano
5 5
12 12
que que
como como
por por
um um
homem homem
entrou entrar
o o
pecado pecado
no em_o
mundo mundo
e e
pelo por_o
pecado pecado
a o
morte morte
como como
por por
um um
homem homem
entrou entrar
o o
pecado pecado
o o
erro erro
no em_o
mundo mundo
e e
pelo por_o
pecado pecado
a o
morte morte
assim assim
também também
a o
morte morte
passou passar
a a
todos todo
os o
homens homem
por por
isso isso
que que
todos todo
pecaram pecar
a o
prova prova
que que
eu eu
e e
você você
somos ser
pecadores pecador
é ser
que que
o o
homem homem
sofre sofrer
sente sentar
dor dor
e e
morrem morrer
se se
você você
não não
sofresse sofrer
não não
sentisse sentir
dor dor
e e
não não
tivesse ter
a o
possibilidade possibilidade
de de
morrer morrer
então então
você você
não não
seria ser
seres seres
humanos humanos
não não
seria ser
ser ser
humano humano
então então
a o
questão questão
da de_o
diversidade diversidade
da de_o
luta luta
e e
da de_o
tripulação tripulação
ela ela
faz fazer
parte parte
da de_o
condição condição
humana humano
ela ela
faz fazer
parte parte
da de_o
condição condição
humana humano
certo certo
ela ela
é ser
é é
da de_o
própria próprio
vida vida
humana humano
desde desde
que que
o o
homem homem
pegou pegar
ela ela
está estar
no em_o
planeta planeta
terra terra
agora agora
a o
adversidade adversidade
as o
tribulações tribulação
as o
lutas luta
deus deus
utiliza utilizar
a a
elas ele
como como
uma um
ferramenta ferramenta
coletiva coletivo
deus deus
ele ele
não não
provoca provocar
luta luta
e e
não não
provoca provocar
a o
tripulação tripulação
mas mas
ele ele
a ela
utiliza utilizar
até até
pra pra
corrigir corrigir
tem ter
um um
salmo salmo
salmo salmo
119 @card@
versículo versículo
71 71
que que
diz dizer
assim assim
foi ser
bom bom
ter ter
sido ser
afligido afligir
para para
que que
aprendesse aprender
a o
tua tua
lei lei
quer querer
dizer dizer
a o
tripulação tripulação
ea ea
diversidade diversidade
fez fazer
com com
que que
ele ele
chegasse chegar
perto perto
de de
deus deus
através através
da de_o
tripulação tripulação
e e
através através
da de_o
luta luta
há haver
uma um
outra outro
coisa coisa
também também
muito muito
interessante interessante
na em_o
tripulação tripulação
na em_o
adversidade adversidade
há haver
uma um
coisa coisa
muito muito
