olá olá
o o
povo povo
abençoado abençoar
do de_o
brasil brasil
eu eu
quero querer
dar dar
um um
alerta alerta
que que
meus meu
irmãos irmão
evangélicos evangélico
porque porque
ninguém ninguém
é ser
obrigado obrigar
a a
conhecer conhecer
e e
entender entender
como como
é ser
que que
se se
elege eleger
um um
deputado deputado
federal federal
e e
um um
deputado deputado
estadual estadual
você você
sabia saber
que que
você você
pode poder
votar votar
em em
mim eu
irmão irmão
e e
acabar acabar
elegendo eleger
um um
corrupto corrupto
município município
encara encarar
que que
é ser
contra contra
seus seu
princípios princípio
eu eu
vou ir
te tu
explicar explicar
o o
voto voto
de de
deputado deputado
federal federal
e e
deputado deputado
estadual estadual
é ser
o o
voto voto
da de_o
representação representação
social social
e e
os o
deputados deputado
são ser
eleitos eleger
pelo por_o
consciente consciente
eleitoral eleitoral
não não
é ser
apenas apenas
pelo por_o
seu seu
voto voto
é ser
o o
conjunto conjunto
de de
votos voto
que que
o o
seu seu
partido partido
ou ou
a o
sua seu
coligação coligação
tem ter
e e
onde onde
ele ele
está estar
colocado colocar
então então
preste prestar
bastante bastante
atenção atenção
se se
você você
vota votar
no em_o
menu menu
e e
da de_o
igreja igreja
que que
não não
têm ter
possibilidade possibilidade
nenhuma nenhum
de de
ganhar ganhar
e e
você você
sabe saber
você você
percebe perceber
o o
cara cara
vai ir
ter ter
mil mil
votos voto
500 500
focos foco
do de_o
voto voto
ele ele
vai ir
ajudar ajudar
a o
elegê elegê
olímpio olímpio
mas mas
ele ele
não não
vai ir
ser ser
eleito eleger
então então
eu eu
queria querer
pedir pedir
ao a_o
povo povo
evangélico evangélico
hoje hoje
em em
todo todo
o o
brasil brasil
em em
todos todo
os o
estados estado
nós nós
temos ter
gente gente
que que
tem ter
possibilidade possibilidade
de de
ser ser
deputado deputado
federal federal
e e
deputado deputado
estadual estadual
não não
jogue jogar
o o
teu teu
voto voto
fora ser
voltando voltar
irmã irmã
porque porque
é ser
teu teu
amigo amigo
que que
é ser
da de_o
tua tua
igreja igreja
mas mas
não não
tem ter
chance chance
nenhuma nenhum
de de
ganhar ganhar
você você
vai ir
acabar acabar
elegendo eleger
olímpio olímpio
que que
é ser
contra contra
seus seu
valores valor
acorda acordar
povo povo
de de
deus deus
o o
voto voto
não não
é ser
só só
da de_o
pessoa pessoa
se se
a o
pessoa pessoa
não não
tem ter
condição condição
de de
se se
eleger eleger
o o
voto voto
dele de_ele
vai ir
ajudar ajudar
a a
eleger eleger
outro outro
então então
meus meu
irmãos irmão
em em
cristo cristo
um um
foto foto
de de
deputado deputado
federal federal
e e
deputado deputado
é ser
onde onde
vão ir
se se
fazer fazer
as o
leis lei
que que
vão ir
governar governar
o o
país país
e e
os o
estados estado
é ser
muito muito
importante importante
é ser
inegociável inegociável
esse esse
voto voto
não não
desse de_esse
voto voto
pra pra
ninguém ninguém
que que
não não
tenha ter
suas seu
convicções convicção
crenças crença
valores valor
fica ficar
aqui aqui
o o
meu meu
alerta alerta
ao a_o
povo povo
de de
deus deus
cuidado cuidar
pra pra
você você
não não
votar votar
em em
gente gente
que que
não não
vai ir
chegar chegar
lá lá
preste prestar
atenção atenção
e e
veja ver
aqueles aquele
que que
têm ter
possibilidade possibilidade
de de
serem ser
deputados deputado
federais federal
e e
deputados deputado
estaduais estadual
ok ok
esse esse
voto voto
aqui aqui
é ser
muito muito
importante importante
deus deus
abençoe abençoar
você você
deus deus
abençoe abençoar
sua seu
família família
deus deus
abençoe abençoar
o o
brasil brasil
