abra abrir
a o
sua seu
bíblia bíblia
em em
primeira primeiro
joão joão
capítulo capítulo
2 2
versículo versículo
14 14
a o
segunda segundo
parte parte
do de_o
texto texto
a o
primeira primeiro
joão joão
capítulo capítulo
2 2
versículo versículo
14 14
a o
segunda segundo
parte parte
do de_o
texto texto
que que
diz dizer
assim assim
lá lá
no em_o
finalzinho final
da de_o
bíblia bíblia
tá estar
querido querer
lá lá
pertinho pertinho
de de
apocalipse apocalipse
isso isso
achou achar
agora agora
graças graças
a a
deus deus
imagina imaginar
se se
eu eu
falasse falar
vamos ir
ler ler
na em_o
1a 1a
acabava acabar
oculta ocultar
o o
cara cara
não não
descobrir descobrir
onde onde
é ser
que que
tá estar
na em_o
uma um
bíblia bíblia
mar mar
primeira primeiro
joão joão
é ser
fácil fácil
primeira primeira
joão joão
2 2
14 14
a o
segunda segundo
parte parte
do de_o
texto texto
diz dizer
assim assim
eu eu
vos vós
escrevi escrever
jovens jovem
porque porque
suas seu
fortes forte
a o
palavra palavra
de de
deus deus
está estar
em em
vós vós
e e
já já
vencestes vencestes
o o
maligno maligno
ok ok
foi ser
na em_o
tela tela
o o
tema tema
por por
favor favor
nós nós
e e
agora agora
meu meu
brother brother
tá estar
certo certo
a ela
acta acta
o o
título título
tá estar
de de
geração geração
forte forte
é ser
o o
que que
eu eu
vou ir
falar falar
mas mas
preste prestar
atenção atenção
aqui aqui
na em_o
minha meu
introdução introdução
antes antes
de de
falar falar
sobre sobre
a o
geração geração
forte forte
nesse em_esse
tempo tempo
existem existir
o o
encontro encontro
de de
cinco cinco
gerações geração
têm ter
cinco cinco
gerações geração
interagindo interagir
nesse em_esse
tempo tempo
pelo por_o
menos menos
90 90
% %
do de_o
público público
que que
está estar
aqui aqui
nesse em_esse
auditório auditório
nesse em_esse
grande grande
auditório auditório
ter ter
tem ter
100 100
há há
duas dois
gerações geração
a a
geração geração
dos de_o
ultra ultra
jovens jovem
e e
nativos nativo
digitais digital
que que
vai ir
da de_o
idade idade
de de
15 15
a a
20 20
anos ano
essa esse
geração geração
não não
é ser
a o
geração geração
mais mais
moderna moderno
ea ea
geração geração
aí aí
é ser
é é
milênio milênio
millennium millennium
milenar milenar
milênio milênio
como como
se se
fala falar
no em_o
português português
é ser
a o
geração geração
que que
vai ir
a o
essa esse
primeira primeiro
geração geração
chamada chamar
a o
geração geração
z z
também também
e e
essa esse
segunda segundo
geração geração
que que
vai ir
de de
2011 @card@
a a
38 38
anos ano
mais mais
ou ou
menos menos
essa esse
segunda segundo
geração geração
certo certo
vai ir
nessa em_esse
faixa faixa
etária etário
né né
a o
geração geração
y y
que que
é ser
chamado chamar
então então
eu eu
vou ir
falar falar
algumas algum
características característica
não não
vou ir
especificar especificar
o o
que que
é ser
de de
uma um
ou ou
de de
outra outro
porque porque
tudo tudo
ensina ensinar
a a
todas todo
as o
gerações geração
tá estar
tudo tudo
ensina ensinar
todas todo
as o
gerações geração
então então
primeiro primeiro
eu eu
quero querer
falar falar
porque porque
essas esse
duas dois
gerações geração
ea ea
grande grande
massa massa
da de_o
população população
mundial mundial
ea ea
grande grande
massa massa
dos de_o
que que
estão estar
aqui aqui
reunidos reunir
aqui aqui
nesse em_esse
lugar lugar
nessa em_esse
noite noite
com com
certeza certeza
dos de_o
questão questão
é ser
me eu
assistindo assistir
pelas por_o
redes rede
sociais social
então então
eu eu
quero querer
falar falar
algumas algum
características característica
da de_o
geração geração
do de_o
nosso nosso
tempo tempo
sintetizando sintetizar
nessas em_esse
duas dois
gerações geração
que que
compreende compreender
a o
maior grande
parte parte
da de_o
geração geração
que que
está estar
no em_o
planeta planeta
terra terra
então então
vamos ir
lá lá
número número
1 1
porém porém
na em_o
tela tela
geração geração
marcada marcar
pela por_o
informação informação
e e
não não
pelo por_o
conhecimento conhecimento
essa esse
é ser
uma um
marca marca
dessa de_esse
geração geração
ela ela
é ser
marcada marcar
é é
vou ir
pedir pedir
almoço almoço
porque porque
pra pra
eles eles
fotografarem fotografar
você você
tem ter
que que
deixar deixar
na em_o
tela tela
e e
terá ter
esquece esquecer
a o
minha meu
imagem imagem
deixa deixar
até até
isso isso
aí aí
bob bob
deixa deixar
na em_o
tela tela
inteira inteiro
pra pra
dar dar
tempo tempo
depois depois
você você
vai ir
trocando trocar
a o
deixa deixa
e e
na em_o
tela tela
inteira inteiro
nas em_o
três três
telas tela
isso isso
aí aí
é ser
e e
fotografam fotografar
tá estar
é é
a o
geração geração
marcada marcar
pela por_o
informação informação
e e
não não
pelo por_o
conhecimento conhecimento
e e
tem ter
uma um
diferença diferença
da de_o
ok ok
vamos ir
lá lá
mostra mostrar
a o
diferença diferença
aí aí
informação informação
informação informação
são ser
dados dado
processados processar
que que
se se
obtenha obter
a a
qualquer qualquer
momento momento
é ser
como como
uma um
lista lista
são ser
coisas coisa
que que
posso poder
repetir repetir
sem sem
no em_o
entanto entanto
me eu
envolver envolver
com com
elas ele
pontual pontual
sem sem
compromisso compromisso
com com
todo todo
isso isso
aqui aqui
é ser
uma um
informação informação
tá estar
você você
recebe receber
não não
tem ter
compromisso compromisso
com com
ela ela
é ser
com com
uma um
lista lista
pode poder
ser ser
obtida obter
a a
qualquer qualquer
momento momento
isso isso
aqui aqui
a o
informação informação
as o
redes rede
sociais social
elas ele
produzem produzir
na em_o
sua seu
essência essência
informação informação
ok ok
agora agora
o o
que que
é ser
conhecimento conhecimento
coloca colocar
aí aí
conhecimento conhecimento
vem vir
com com
o o
saber saber
são ser
informações informação
úteis útil
obtidas obter
através através
do de_o
aprendizado aprendizado
e e
experiência experiência
atividade atividade
intelectual intelectual
onde onde
indagamos indagamos
questionamos questionar
estabelecidos estabelecer
estabelecemos estabelecer
relações relação
entre entre
as o
diversas diversos
informações informação
obtidas obter
tem ter
a o
prioridade prioridade
de de
um um
sistema sistema
e e
tem ter
compromisso compromisso
com com
todo todo
isso isso
aqui aqui
é ser
conhecimento conhecimento
conhecimento conhecimento
não não
é ser
uma um
simples simples
informação informação
conhecimento conhecimento
não não
é ser
um um
simples simples
dado dado
você você
tem ter
que que
buscar buscar
de de
maneira maneira
geral geral
pertence pertencer
a a
um um
grupo grupo
e e
você você
usa usar
o o
intelecto intelecto
e e
usa usar
a o
experiência experiência
e e
um um
aprendizado aprendizado
por por
isso isso
que que
eu eu
falei falar
que que
as o
redes rede
sociais social
a o
marca marca
a a
informação informação
e e
não não
conhecimento conhecimento
agora agora
vou ir
dar dar
uma um
orientação orientação
por por
bróder bróder
conta conta
na em_o
tua tua
mente mentar
o o
tempo tempo
que que
se se
dá dar
para para
tirar tirar
uma um
fotografia fotografia
e e
corta cortar
pra pra
mim eu
senão senão
o o
pessoal pessoal
vai ir
ficar ficar
que que
é ser
esse esse
maluco maluco
está estar
falando falar
que que
a o
gente gente
não não
tá estar
vendo ver
ok ok
então então
mostrou mostrar
nas em_o
três três
telas tela
deu dar
tempo tempo
para para
fotografar fotografar
corta cortar
a o
imagem imagem
pra pra
mim eu
tá estar
certo certo
tá estar
bom bom
assim assim
combinada combinar
aí aí
o o
brother brother
que que
está estar
tomando tomar
conta conta
