hoje hoje
eu eu
quero querer
trazer trazer
aqui aqui
uma um
palavra palavra
sobre sobre
uma um
resposta resposta
a a
perseguição perseguição
aos a_o
evangélicos evangélico
e e
eu eu
quero querer
falar falar
sobre sobre
pecados pecado
da de_o
área área
sexual sexual
ah ah
ah ah
eu eu
quero querer
fazer fazer
aqui aqui
uma um
resposta resposta
de de
algo algo
muito muito
sério sério
muito muito
sério sério
que que
nós nós
não não
podemos poder
brincar brincar
e e
porque porque
eu eu
vou ir
dar dar
uma um
resposta resposta
a a
perseguição perseguição
aos a_o
evangélicos evangélico
eu eu
vou ir
falar falar
aqui aqui
e e
vocês você
vão ir
entender entender
porque porque
eu eu
vou ir
falar falar
de de
Pecados pecado
na em_o
área área
sexual sexual
Coloca colocar
aí aí
meu meu
filho filho
banner banner
da de_o
notícia notícia
sobre sobre
o o
que que
aconteceu acontecer
na em_o
Bahia bahia
seguinte seguinte
um um
pastor pastor
é ser
de de
uma um
igreja igreja
na em_o
Bahia bahia
no em_o
interior interior
da de_o
Bahia bahia
ele ele
fala falar
sobre sobre
a o
questão questão
de de
empresas empresa
fazer fazer
em em
campanha campanha
em em
favor favor
do de_o
ativismo ativismo
gay gay
e e
ele ele
então então
fala falar
para para
igreja igreja
boicotar boicotar
essas esse
empresas empresa
e e
também também
na em_o
palavra palavra
dele de_ele
ele ele
usa usar
a o
palavra palavra
Homossexualismo homossexualismo
aí aí
uma um
cretina cretino
de de
uma um
promotora promotor
porque porque
não não
tem ter
outro outro
nome nome
para para
ela ela
e e
não não
tenho ter
medo medo
dela de_ela
uma um
creatina creatina
de de
uma um
promotora promotor
entra entrar
porque porque
alguém alguém
viu ver
e e
fez fazer
uma um
denúncia denúncia
de de
homofobia homofobia
e e
o o
pastor pastor
e e
aí aí
eu eu
não não
vou ir
nem nem
entrar entrar
não não
quero querer
entrar entrar
em em
detalhes detalhe
do de_o
pastor pastor
sabe saber
o o
pastor pastor
com com
medo medo
sei saber
lá lá
o o
que que
aceita aceitar
fazer fazer
um um
termo termo
de de
ajuste ajuste
de de
Conduta conduta
para para
que que
durante durante
30 30
dias dia
na em_o
igreja igreja
em em
tudo tudo
que que
é ser
culto culto
ele ele
se se
desculpe desculpar
pelo por_o
que que
ele ele
falou falar
eles eles
sabem saber
com com
que que
eles eles
fazem fazer
e e
vem vir
fazer fazer
comigo com_eu
vem vir
e e
vem vir
fazer fazer
comigo com_eu
então então
eu eu
falei falar
gravei gravar
um um
vídeo vídeo
convoquei convoquei
pastores pastor
de de
tudo tudo
que que
é ser
lugar lugar
do de_o
Brasil brasil
para para
de de
manhã manhã
ou ou
de de
noite noite
falar falar
sobre sobre
pecados pecado
na em_o
área área
Ah ah
tá estar
fala falar
com com
Val val
que que
eu eu
recebi receber
respostas resposta
de de
centenas centena
de de
Pastores pastor
para para
gente gente
poder poder
dar dar
uma um
resposta resposta
é ser
porque porque
minha meu
gente gente
se se
nos nós
calarmos calarmos
e e
nos nós
amedrontar amedrontar
mos mos
essa esse
gente gente
vai ir
querer querer
determinar determinar
o o
que que
que que
um um
pastor pastor
fala falar
dentro dentro
da de_o
igreja igreja
aqui aqui
é ser
que que
tá estar
o o
perigo perigo
Então então
antes antes
de de
analisar analisar
um um
texto texto
da de_o
Bíblia bíblia
eu eu
quero querer
colocar colocar
aqui aqui
a o
Constituição constituição
Brasileira brasileira
a o
lei lei
maior grande
o o
artigo artigo
quinto quinto
da de_o
constituição constituição
é é
cláusula cláusula
pétrea pétreo
O o
quê quê
que que
significa significar
isso isso
você você
muda mudar
constituição constituição
mas mas
não não
pode poder
mudar mudar
o o
artigo artigo
quinto quinto
fala falar
das de_o
garantias garantia
individuais individual
não não
muda mudar
você você
muda mudar
vários vários
artigos artigo
da de_o
Constituição constituição
se se
eu eu
não não
tô tô
enganado enganado
