[ [
Música música
] _
o o
pai pai
em em
nome nome
de de
jesus jesus
oramos orar
amém amém
aplauso aplauso
ao a_o
senhor senhor
glória glória
a a
deus deus
talvez talvez
se se
assentarem assentar
irmãos irmão
têm ter
má má
notícia notícia
também também
boa bom
você você
que que
fez fazer
a o
compra compra
do de_o
kit kit
você você
vai ir
sair sair
daqui de_aqui
com com
cinco cinco
dvd dvd
' '
s s
inclusive inclusive
a o
mensagem mensagem
dos de_o
jabs jabs
o o
último último
eu eu
vou ir
mandar mandar
para para
o o
correio correio
pra pra
você você
ok ok
se se
alguém alguém
quiser querer
comprar comprar
se se
tiver ter
que que
eu eu
não não
sei saber
como como
é ser
que que
tá estar
todos todo
os o
5 5
e e
quiser querer
que que
mande mandar
última último
tem ter
que que
fazer fazer
ali ali
uma um
inscrição inscrição
pra pra
você você
poder poder
receber receber
o o
último último
lá lá
na em_o
sua seu
casa casa
meus meu
amados amado
irmãos irmão
deixa deixar
eu eu
dizer dizer
uma um
coisa coisa
pra pra
vocês você
aqui aqui
se se
uma um
das de_o
coisas coisa
mais mais
difíceis difícil
se se
você você
perguntar perguntar
o o
pastor pastor
jorge jorge
linhares linhares
o o
pastor pastor
jabes jabes
apostou apostar
saiba saber
qualquer qualquer
pastor pastor
é ser
saber saber
o o
que que
pegar pegar
você você
isso isso
é ser
quase quase
que que
um um
parto parto
sabe saber
você você
fica ficar
a o
noite noite
sem sem
dormir dormir
você você
muda mudar
a o
mensagem mensagem
18 18
vezes vezes
e e
quando quando
chega chegar
na em_o
18ª 18ª
que que
você você
pensa pensar
que que
é ser
a o
mensagem mensagem
faltando faltar
cinco cinco
minutos minuto
para para
chegar chegar
no em_o
púlpito púlpito
muda mudar
de de
novo novo
é ser
uma um
guerra guerra
esse esse
negócio negócio
de de
entregar entregar
não não
pensa pensar
que que
isso isso
aqui aqui
é ser
aí aí
pessoal pessoal
polidor polidor
mt mt
salamê salamê
minguê minguê
é ser
um um
sorvete sorvete
e e
colorido colorir
para para
você você
essa esse
bem bem
me eu
quer querer
mal mal
me eu
quer querer
bem bem
me eu
quer querer
mal mal
me eu
quer querer
bem bem
me eu
quer querer
pregar pregar
essa esse
não não
tem ter
não não
sabe saber
ou ou
fazer fazer
papelzinho papel
jogar jogar
pra para_o
cima cima
que que
