bem bem
abra abrir
a o
sua seu
bíblia bíblia
e e
mateus mateus
capítulo capítulo
15 15
do de_o
versículo versículo
21 21
ao a_o
28 28
eu eu
vou ir
ler ler
os o
dois dois
primeiros primeiro
versículos versículo
hockey hockey
os o
dois dois
primeiros primeiro
versículos versículo
mas mas
eu eu
vou ir
tá estar
falando falar
aqui aqui
na em_o
temática temático
que que
envolve envolver
o o
capítulo capítulo
15 15
do de_o
versículo versículo
21 21
ao a_o
versículo versículo
28 28
e e
partindo partir
jesus jesus
dali de_ali
foi ser
para para
as o
partes parte
de de
tiro tiro
e e
disse dizer
dom dom
e e
eis eis
que que
uma um
mulher mulher
cananéia cananéia
que que
saíra sair
daquelas de_aquele
cercanias cercania
reclamou reclamar
dizendo dizer
o o
senhor senhor
filho filho
de de
davi davi
tem ter
misericórdia misericórdia
de de
mim eu
minha meu
filha filha
está estar
miseravelmente miseravelmente
endemoniada endemoniado
eu eu
quero querer
trazer trazer
uma um
palavra palavra
aqui aqui
pra pra
vocês você
sobre sobre
aprendendo aprender
com com
uma um
mulher mulher
extraordinária extraordinário
olha olhar
quem quem
tem ter
criança criança
que que
não não
há haver
problemas problema
a o
criança criança
começar começar
a a
chorar chorar
aí aí
você você
vai ir
ter ter
que que
sair sair
daqui de_aqui
com com
a o
criança criança
e e
é ser
normal normal
a o
criança criança
chorar chorar
não não
fique ficar
chocado chocar
ágil ágil
mãe mãe
porque porque
criança criança
é ser
isso isso
mesmo mesmo
eu eu
sou ser
já já
vou ir
te tu
vi ver
criança criança
pequena pequeno
temos ter
área área
de de
criança criança
aqui aqui
tá estar
nós nós
temos ter
aqui aqui
na em_o
esquerda esquerda
isso isso
tá estar
lá lá
atrás atrás
agora agora
mudou mudar
para para
lá lá
atrás atrás
viu ver
mãe mãe
e e
se se
é ser
assim assim
mesmo mesmo
criança criança
é é
dose dose
não não
diz dizer
a o
hora hora
é ser
e e
é ser
normal normal
isso isso
é ser
normal normal
normal normal
é ser
um um
adulto adulto
fazer fazer
o o
enem enem
está estar
fazendo fazer
é ser
esse esse
aí aí
não não
aí aí
nós nós
temos ter
que que
levar levar
o o
outro outro
lugar lugar
certo certo
aqui aqui
como como
é ser
que que
chama chamar
vai ir
levar levar
por por
juqueri juqueri
aqui aqui
é ser
adulto adulto
é ser
outro outro
papo papo
criança criança
ele ele
é ser
mas mas
é ser
claro claro
não não
tem ter
como como
né né
eu eu
sei saber
que que
isso isso
é ser
normal normal
só só
não não
é ser
normal normal
deixar deixar
a o
criança criança
dentro dentro
da de_o
igreja igreja
chorando chorar
não não
é ser
porque porque
não não
não não
temos ter
como como
mas mas
vamos ir
lá lá
a o
palavra palavra
voltando voltar
aqui aqui
o o
filme filme
pra pra
pronto pronto
eu eu
quero querer
eu eu
quero querer
trazer trazer
uma um
palavra palavra
pra pra
vocês você
sobre sobre
alguns algum
ensinos ensino
da de_o
vida vida
extraordinária extraordinário
que que
essa esse
mulher mulher
nos nós
traz trazer
uma um
mulher mulher
extraordinária extraordinário
na em_o
introdução introdução
aqui aqui
jesus jesus
vai ir
para para
as o
partes parte
de de
tiro tiro
e e
disse dizer
don don
fora fora
da de_o
região região
de de
israel israel
norte norte
da de_o
galiléia galiléia
líbano líbano
jesus jesus
vai ir
pra pra
lá lá
com com
o o
objetivo objetivo
de de
descansar descansar
se se
você você
é ser
a o
mesma mesmo
narrativa narrativa
e e
marcos marco
jesus jesus
vem vir
de de
uma um
pressão pressão
de de
trabalho trabalho
e e
confronto confronto
com com
os o
fariseus fariseu
na em_o
verdade verdade
eu eu
não não
queria querer
falar falar
com com
ninguém ninguém
jesus jesus
se se
retirou retirar
para para
descansar descansar
agora agora
olha olhar
que que
coisa coisa
interessante interessante
a o
mulher mulher
vai ir
atrás atrás
da de_o
pessoa pessoa
certa certo
aprenda aprender
o o
seguinte seguinte
não não
é ser
o o
lugar lugar
é ser
um um
