abra abrir
a o
sua seu
bíblia bíblia
e e
meu meu
querido querido
josué josué
capítulo capítulo
24 24
versículo versículo
15 15
show show
josué josué
livro livro
de de
josué josué
o o
primeiro primeiro
livro livro
depois depois
do de_o
pentateuco pentateuco
depois depois
dos de_o
cinco cinco
primeiros primeiro
o o
checho checho
do de_o
livro livro
da de_o
bíblia bíblia
porém porém
se se
vos vós
parece parecer
mal mal
aos a_o
vossos vosso
olhos olho
e e
viu ver
o o
senhor senhor
escolheu escolher
hoje hoje
a a
quem quem
se se
vai ir
se se
os o
deuses deus
a a
quem quem
servir servir
vossos vosso
pais pai
que que
estavam estar
da de_o
além além
do de_o
rio rio
os o
deuses deus
dos de_o
a ela
morreu morrer
sem sem
cuja cujo
terra terra
vitais vital
porém porém
eu eu
ea ea
minha meu
casa casa
serviremos servirar
ao a_o
senhor senhor
eu eu
quero querer
usar usar
essa esse
decisão decisão
desse de_esse
guerreiro guerreiro
conquistador conquistador
chamado chamado
josué josué
para para
trazer trazer
uma um
palavra palavra
pra pra
vocês você
sobre sobre
o o
poder poder
da de_o
decisão decisão
a o
primeira primeiro
questão questão
que que
eu eu
vou ir
colocar colocar
aqui aqui
pra pra
vocês você
é ser
o o
seguinte seguinte
por por
que que
pessoas pessoa
tomam tomar
decisões decisão
na em_o
vida vida
e e
não não
conseguem conseguir
colocar colocar
em em
prática prática
quer quer
na em_o
vida vida
material material
quer querer
na em_o
vida vida
espiritual espiritual
quer querer
na em_o
vida vida
emocional emocional
não não
eu eu
vou ir
fazer fazer
um um
curso curso
de de
sido ser
assim assim
eu eu
vou ir
fazer fazer
porque porque
eu eu
vou ir
fazer fazer
já já
planejei planejar
eu eu
vou ir
fazer fazer
não não
faz fazer
né né
não não
agora agora
agora agora
vou ir
servir servir
a a
deus deus
agora agora
vou ir
servir servir
a a
deus deus
não não
chega chegar
de de
brincar brincar
vou ir
servir servir
a a
deus deus
agora agora
eu eu
vou ir
acertar acertar
esse esse
negócio negócio
e e
agora agora
eu eu
não não
vou ir
decidi decidir
mas mas
não não
consegue conseguir
colocar colocar
em em
prática prática
as o
decisões decisão
nas em_o
diversas diversos
áreas área
da de_o
sua seu
vida vida
então então
eu eu
vou ir
te tu
dar dar
aqui aqui
algumas algum
razões razão
e e
não não
todas todo
eu eu
sempre sempre
digo dizer
isso isso
mas mas
algumas algum
razões razão
por por
que que
as o
pessoas pessoa
decidem decidir
e e
não não
conseguem conseguir
colocar colocar
em em
prática prática
a o
primeira primeiro
é ser
porque porque
suas seu
decisões decisão
estão estar
exclusivamente exclusivamente
baseada basear
nas em_o
suas seu
emoções emoção
enganoso enganoso
é ser
o o
coração coração
do de_o
homem homem
e e
perverso perverso
quem quem
conhecer conhecer
a a
deus deus
que que
os o
quadrinhos quadro
corações coração
então então
o o
cara cara
decide decidir
baseado basear
muito muito
nas em_o
emoções emoção
mas mas
é ser
uma um
coisa coisa
meu meu
irmão irmão
se se
você você
toma tomar
decisões decisão
baseadas basear
em em
emoções emoção
você você
costuma costumar
tomar tomar
decisões decisão
baseada basear
no em_o
momento momento
da de_o
tua tua
vida vida
e e
o o
momento momento
da de_o
tua tua
vida vida
não não
é ser
o o
melhor bom
instrumento instrumento
para para
você você
tomar tomar
a o
decisão decisão
por por
isso isso
que que
as o
pessoas pessoa
não não
conseguem conseguir
colocar colocar
em em
prática prática
porque porque
há haver
pessoas pessoa
tomam tomar
decisão decisão
e e
não não
conseguem conseguir
colocar colocar
em em
prática prática
porque porque
suas seu
decisões decisão
estão estar
baseadas basear
exclusivas exclusivo
na em_o
vontade vontade
à a_o
vontade vontade
a o
faculdade faculdade
da de_o
alma alma
mais mais
poderosa poderoso
que que
existe existir
a o
vontade vontade
ela ela
está estar
ligada ligar
é ser
a o
natureza natureza
da de_o
alma alma
humana humano
mais mais
perto perto
de de
uma um
coisa coisa
chamada chamado
carne carne
annie annie
natureza natureza
humana humano
à a_o
vontade vontade
uma um
coisa coisa
tão tão
poderosa poderoso
que que
ela ela
tem ter
o o
poder poder
de de
interferir interferir
nos em_o
sentimentos sentimento
e e
na em_o
consciência consciência
à a_o
vontade vontade
o o
desejo desejo
é ser
uma um
coisa coisa
tão tão
poderosa poderoso
que que
pode poder
fazer fazer
você você
interferir interferir
nos em_o
sentimentos sentimento
e e
até até
na em_o
consciência consciência
me eu
diz dizer
o o
que que
é ser
isso isso
bastou bastar
eu eu
te tu
digo dizer
oh oh
camarada camarada
ama amar
esposa esposo
e e
trai trair
quem quem
ama amar
não não
traz trazer
uma um
vez vez
a a
pesquisa pesquisa
na em_o
rádio rádio
quem quem
ama amar
não não
trai trair
92 92
% %
disseram dizer
que que
não não
8 8
% %
disseram dizer
que que
sim sim
eu eu
falei falar
os o
92 92
% %
equivocado equivocar
porque porque
trair trair
não não
tem ter
a a
ver ver
com com
amor amor
tem ter
a a
ver ver
com com
a o
cessão cessão
da de_o
natureza natureza
humana humano
se se
você você
brincar brincar
com com
a o
natureza natureza
humana humano
que que
a o
fraca fraco
você você
pode poder
amar amar
e e
pode poder
fazer fazer
uma um
bobagem bobagem
não não
é ser
à a_o
toa toa
que que
a o
bíblia bíblia
manda mandar
fugir fugir
a o
bíblia bíblia
somando somar
a a
fugir fugir
ao a_o
que que
é ser
mais mais
poderoso poderoso
que que
você você
a a
fugir fugir
dos de_o
desejos desejo
da de_o
mocidade mocidade
diz dizer
paulo paulo
em em
segundo segundo
thimote thimote
2 2
22 22
primeira primeira
corinthians corinthians
6 6
18 18
fugir fugir
da de_o
prostituição prostituição
jesus jesus
falou falar
mateus mateu
26 26
41 41
vigiai vigiai
e e
orai orar
para para
que que
não não
entrem entrar
tentação tentação
porque porque
na em_o
verdade verdade
o o
espírito espírito
está estar
pronto pronto
mas mas
a o
carne carne
é ser
fraca fraco
natureza natureza
humana humano
é ser
fraca fraco
dureza dureza
humano humano
é ser
fraca fraco
porque porque
ela ela
não não
está estar
sujeito sujeitar
à a_o
lei lei
de de
deus deus
então então
pessoas pessoa
decidem decidir
pela por_o
vontade vontade
à a_o
vontade vontade
não não
é ser
isso isso
que que
eu eu
quero querer
é ser
isso isso
que que
eu eu
quero querer
vontade vontade
dá dar
e e
passa passar
é é
verdade verdade
né né
manter manter
alguém alguém
para para
concordar concordar
comigo com_eu
aqui aqui
essa esse
música música
entrou entrar
num em_um
montado montar
e e
daí de_aí
passa passar
e e
aí aí
à a_o
vontade vontade
vou ir
fazer fazer
vou ir
fazer fazer
não não
vai ir
porque porque
pessoas pessoa
tomam tomar
decisões decisão
na em_o
sua seu
vida vida
e e
não não
coloque colocar
em em
prática prática
porque porque
as o
suas seu
decisões decisão
estão estar
baseadas basear
na em_o
opinião opinião
dos de_o
outros outro
e e
não não
na em_o
sua seu
própria próprio
opinião opinião
sabe saber
se se
está estar
sendo ser
influenciado influenciar
por por
um um
monte monte
de de
gente gente
aí aí
na em_o
hora hora
do de_o
vamo vamo
vezes vez
não não
não não
eu eu
parei parar
mais mais
aqui aqui
aí aí
acaba acabar
não não
agindo agir
por por
que que
pessoas pessoa
tomam tomar
decisões decisão
na em_o
sua seu
vida vida
