domingo domingo
passado passado
na em_o
escola escola
dominical dominical
nós nós
temos ter
uma um
uma um
revista revista
muito muito
importante importante
sendo ser
não não
é ser
um um
verdadeiro verdadeiro
cristão cristão
eu eu
não não
sei saber
que que
na em_o
santa santo
ceia ceia
e e
é ser
pregar pregar
sobre sobre
a o
lição lição
6 6
essa esse
lição lição
a o
revista revista
foi ser
o o
que que
escrevi escrever
sobre sobre
o o
crescimento crescimento
ideal ideal
da de_o
vida vida
cristã cristão
é ser
uma um
mensagem mensagem
muito muito
importante importante
tem ter
vários vários
estados estado
do de_o
que que
eu eu
já já
falei falar
pra pra
vocês você
e e
outros outro
que que
eu eu
não não
falei falar
mas mas
depois depois
do de_o
projeto projeto
josué josué
de de
ontem ontem
eu eu
fiquei ficar
incomodado incomodar
com com
alguma algum
coisa coisa
e e
hoje hoje
às a_o
7 7
horas hora
da de_o
manhã manhã
quando quando
eu eu
me eu
levantei levantar
pra pra
mim eu
aqui aqui
pra para_o
igreja igreja
como como
faço fazer
sempre sempre
o o
espírito espírito
santo santo
me eu
incomodou incomodar
preparei preparar
a o
mensagem mensagem
a a
semana semana
toda todo
uma um
coisa coisa
assim assim
você você
não não
vai ir
pegar pegar
isso isso
não não
falei falar
do de_o
está estar
ficando ficar
maluco maluco
ou ou
então então
é ser
a o
intuição intuição
que que
a o
intuição intuição
da de_o
gente gente
faz fazer
a o
gente gente
pensar pensar
coisa coisa
que que
tem ter
nada nada
a a
ver ver
com com
o o
espírito espírito
santo santo
a o
intuição intuição
da de_o
gente gente
faz fazer
assim assim
mas mas
eu eu
falei falar
com com
ela ela
vai ir
pagar pagar
senão senão
aí aí
quando quando
eu eu
levantei levantar
hoje hoje
7 7
da de_o
manhã manhã
eu eu
tive ter
a o
convicção convicção
que que
eu eu
não não
ia ir
pegar pegar
eram ser
7 7
horas hora
da de_o
manhã manhã
e e
aí aí
deus deus
colocou colocar
no em_o
meu meu
coração coração
para para
eu eu
falar falar
com com
vocês você
aqui aqui
eu eu
não não
vou ir
dar dar
o o
nome nome
disso de_isso
aqui aqui
de de
mensagem mensagem
não não
mas mas
eu eu
quero querer
te tu
dar dar
uma um
instrução instrução
sabe saber
deus deus
prepara preparar
o o
tempo tempo
para para
instruir instruir
o o
seu seu
povo povo
eu eu
vou ir
trazer trazer
uma um
palavra palavra
que que
de de
instrução instrução
pra pra
você você
pra pra
lembrar lembrar
alguns algum
ensinar ensinar
novos novo
sobre sobre
os o
quatro quatro
pilares pilar
fundamentais fundamental
dessa de_esse
igreja igreja
o o
que que
norteia nortear
a o
nossa nosso
igreja igreja
os o
quatro quatro
pilares pilar
fundamentais fundamental
o o
que que
norteia nortear
a o
nossa nosso
igreja igreja
é ser
isso isso
aí aí
que que
nós nós
vamos ir
falar falar
aqui aqui
eu eu
queria querer
que que
você você
repetir repetir
se se
após após
a o
minha meu
fala fala
unidade unidade
visam visar
a o
autoridade autoridade
palavra palavra
de de
deus deus
mais mais
uma um
vez vez
unidade unidade
visam visar
a o
autoridade autoridade
palavra palavra
de de
deus deus
eu eu
vou ir
deixar deixar
um um
texto texto
que que
tem ter
a a
ver ver
com com
a o
igreja igreja
que que
é ser
a o
primeira primeiro
timóteo timóteo
3 3
15 15
que que
diz dizer
assim assim
a o
primeira primeiro
carta carta
