17 17
Hebreus hebreu
capítulo capítulo
13 13
versículo versículo
obedecei obedecer
a a
vossos vosso
pastores pastor
e e
sujeitai sujeitai
-vos vós
a a
eles eles
porque porque
velam velar
por por
vossa vosso
alma alma
como como
aqueles aquele
que que
hão haver
de de
dar dar
conta conta
delas de_elas
para para
que que
o o
façam fazer
com com
alegria alegria
e e
não não
gemendo gemer
por por
isso isso
porque porque
isso isso
não não
vos vós
seria ser
útil útil
eu eu
quero querer
trazer trazer
uma um
palavra palavra
para para
você você
sobre sobre
Um um
Conselho conselho
Pastoral pastoral
e e
uma um
palavra palavra
profética profético
para para
as o
ovelhas ovelha
de de
Jesus jesus
Cristo cristo
é ser
a o
minha meu
palavra palavra
eu eu
quero querer
dar dar
aqui aqui
um um
Conselho conselho
Pastoral pastoral
e e
também também
uma um
palavra palavra
profética profético
para para
as o
ovelhas ovelha
de de
Jesus jesus
eu eu
vou ir
começar começar
pelo por_o
que que
tá estar
explicitado explicitar
no em_o
texto texto
Primeiro primeiro
as o
obrigações obrigação
das de_o
ovelhas ovelha
o o
texto texto
primeiro primeiro
mostra mostrar
as o
obrigações obrigação
das de_o
ovelhas ovelha
depois depois
mostra mostrar
as o
obrigações obrigação
do de_o
pastor pastor
né né
obrigações obrigação
das de_o
ovelhas ovelha
e e
as o
obrigações obrigação
do de_o
pastor pastor
que que
é ser
o o
que que
esse esse
texto texto
mostra mostrar
mas mas
primeiro primeiro
eu eu
quero querer
mostrar mostrar
aqui aqui
quero querer
falar falar
sobre sobre
a o
obrigação obrigação
das de_o
ovas ova
porque porque
é ser
a o
ordem ordem
que que
tá estar
no em_o
texto texto
mas mas
eu eu
quero querer
perguntar perguntar
a a
a o
toda todo
a ela
eveque eveque
né né
se se
você você
é ser
se se
manifeste manifestar
aí aí
onde onde
estão estar
as o
ovelhas ovelha
de de
Jesus jesus
Cristo cristo
é ser
isso isso
aí aí
olha olhar
Eu eu
acho achar
que que
eu eu
Se se
eu eu
chamasse chamar
aqui aqui
a o
torcida torcida
do de_o
Fluminense fluminense
ficava ficar
melhor bom
para para
dar dar
esse esse
esse esse
Brado brado
né né
mas mas
vou ir
perguntar perguntar
de de
novo novo
não não
custa custar
nada nada
vou ir
perguntar perguntar
onde onde
estão estar
as o
ovelhas ovelha
do de_o
Senhor senhor
Jesus jesus
ah ah
estão estar
aí aí
estão estar
em em
todo todo
o o
Brasil brasil
estão estar
na em_o
América américa
e e
tá estar
em em
Portugal portugal
Então então
vamos ir
à a_o
obrigações obrigação
das de_o
ovelhas ovelha
e e
depois depois
eu eu
vou ir
falar falar
das de_o
obrigações obrigação
do de_o
pastor pastor
vou ir
começar começar
por por
isso isso
aqui aqui
sobre sobre
conselho conselho
que que
eu eu
quero querer
dar dar
aqui aqui
às a_o
ovelhas ovelha
primeiro primeiro
diz dizer
assim assim
obedecei obedecer
aos a_o
vossos vosso
pastores pastor
e e
sujeitai sujeitai
-vos vós
a a
eles eles
é ser
quase quase
uma um
redundância redundância
é ser
obedecer obedecer
e e
submeter submeter
à a_o
autoridade autoridade
do de_o
pastor pastor
agora agora
é ser
importante importante
você você
entender entender
que que
não não
é ser
uma um
obediência obediência
cega cego
a a
um um
manipulador manipulador
com com
interesses interesse
pessoais pessoal
sobre sobre
as o
as o
que que
não não
são ser
dele de_ele
a o
obediência obediência
e e
sujeição sujeição
ao a_o
pastor pastor
está estar
no em_o
parâmetro parâmetro
da de_o
palavra palavra
de de
Deus deus
isso isso
aqui aqui
é ser
muito muito
importante importante
obedecer obedecer
um um
pastor pastor
e e
submeter submeter
um um
pastor pastor
não não
é ser
você você
está estar
subjulgar subjulgar
a a
um um
cara cara
que que
faz fazer
o o
que que
ele ele
bem bem
entende entender
e e
eu eu
vou ir
pedir pedir
para para
essas esse
câmeras câmera
