olá olá
povo povo
abençoado abençoar
do de_o
brasil brasil
um um
verdadeiro verdadeiro
cristão cristão
não não
vota votar
em em
haddad haddad
haddad haddad
é ser
comunista comunista
disfarçado disfarçar
a a
vice vice
não não
é ser
comunista comunista
declarada declarar
mas mas
e e
as o
teses tese
de de
haddad haddad
de de
mestrado mestrado
e e
de de
doutorado doutorado
é ser
comunista comunista
gente gente
se se
viu ver
que que
o o
comunismo comunismo
pelo por_o
mundo mundo
primeiro primeiro
como como
ele ele
está estar
falido falir
é ser
a o
revolução revolução
que que
mais mais
matou matar
gente gente
reacionária reacionário
mataram matar
milhões milhão
de de
cristãos cristão
como como
é ser
que que
um um
verdadeiro verdadeiro
cristão cristão
vota votar
um um
cara cara
desse dessar
minha meu
gerente gerente
o o
pt pt
é ser
a ela
de de
o o
pt pt
o o
pt pt
é ser
a a
favor favor
do de_o
aborto aborto
o o
cristão cristão
verdadeiro verdadeiro
cristão cristão
é ser
contra contra
o o
pt pt
a a
favor favor
do de_o
casamento casamento
gay gay
verdadeiro verdadeiro
cristão cristão
é ser
contra contra
o o
pt pt
a a
favor favor
e e
erotizar erotizar
crianças criança
em em
escolas escola
verdadeiro verdadeiro
que que
está estar
contra contra
a o
tarde tarde
não não
dá dar
pra pra
você você
engata engatar
em em
documento documento
à a_o
tarde tarde
o o
autor autor
do de_o
kit kit
gay gay
aquela aquele
cartilha cartilha
do de_o
inferno inferno
para para
utilizar utilizar
crianças criança
e e
se se
não não
fosse ser
a o
pressão pressão
de de
evangélicos evangélico
e e
de de
católicos católico
sobre sobre
a o
presidente presidente
dilma dilma
foi ser
a o
dilma dilma
que que
vetou vetar
não não
foi ser
você você
não não
a o
dilma dilma
que que
vetou vetar
acabar acabar
com com
isso isso
eu eu
quero querer
museu museu
que que
você você
ficou ficar
calado calar
a o
tua tua
vista ver
esse esse
lixo lixo
moral moral
só só
teve ter
dois dois
políticos político
que que
falaram falar
contra contra
funcionar funcionar
que que
chamou chamar
de de
canalhas canalha
os o
autores autor
do de_o
que que
um um
museu museu
vitória vitória
vocês você
tudo tudo
calado calar
porque porque
vocês você
concordam concordar
com com
esse esse
lixo lixo
moral moral
ó ó
o o
atalho atalho
se se
enganada enganar
mas mas
ninguém ninguém
você você
representa representar
o o
esquema esquema
de de
moka moka
corrupção corrupção
e e
da de_o
história história
política político
do de_o
brasil brasil
que que
foi ser
o o
pt pt
você você
representar representar
isso isso
e e
tem ter
muitos muito
processos processo
contra contra
você você
voltar voltar
aqui aqui
uma um
opinião opinião
pessoal pessoal
minha meu
eu eu
respeito respeito
o o
funcionário funcionário
se se
eu eu
sou ser
funcionário funcionário
e e
eu eu
não não
via ver
nenhum nenhum
debate debate
com com
você você
porque porque
quem quem
conversa conversa
com com
o o
poste poste
é ser
bêbado bêbado
você você
poste postar
você você
é ser
um um
fantoche fantoche
do de_o
maior grande
corrupto corrupto
da de_o
história história
política político
do de_o
brasil brasil
chega chegar
a a
vocês você
agora agora
tô tô
falando falar
mal mal
de de
macedo macedo
quando quando
uma um
cena cena
apoiava apoiar
o o
pt pt
ele ele
era ser
um um
anjo anjo
de de
luz luz
depois depois
que que
ele ele
passou passar
a a
ser ser
o o
demônio demônio
mas mas
olha olhar
a o
foto foto
aí aí
ó ó
olha olhar
a o
foto foto
você você
na em_o
primeira primeiro
fila fila
com com
a o
família família
com com
macedo macedo
na em_o
inauguração inauguração
do de_o
templo templo
de de
salomão salomão
deixa deixar
de de
ser ser
cínico cínico
e e
mentiroso mentiroso
accor accor
de de
vocês você
na em_o
via via
que que
amaral amaral
não não
tá estar
aí aí
ó ó
o o
que que
vocês você
sempre sempre
foi ser
vermelho vermelho
vocês você
negam negar
essa esse
questão questão
de de
patriotismo patriotismo
e e
agora agora
fars fars
ente ente
querido querido
enganar enganar
o o
povo povo
brasileiro brasileiro
não não
dá dar
vocês você
não não
enganam enganir
mais mais
o o
povo povo
brasileiro brasileiro
na em_o
engana enganir
mais mais
essa esse
crise crise
econômica econômico
essa esse
crise crise
moral moral
vem vir
de de
vocês você
essa esse
que que
é ser
a o
verdade verdade
o o
povo povo
brasileiro brasileiro
vai ir
dar dar
um um
basta basta
em em
vocês você
um um
verdadeiro verdadeiro
cristão cristão
e e
rejeita rejeitar
vocês você
pelas por_o
ideologias ideologia
por por
aquilo aquilo
que que
vocês você
querem querer
e e
por por
aquilo aquilo
que que
vocês você
defendem defender
deus deus
abençoe abençoar
você você
deus deus
abençoe abençoar
sua seu
família família
deus deus
abençoe abençoar
brasil brasil
e e
nos em_o
livre livre
de de
pt pt
de de
à a_o
tarde tarde
