hoje hoje
eu eu
quero querer
trazer trazer
aqui aqui
nessa em_esse
manhã manhã
um um
alerta alerta
importantíssimo importante
ao a_o
povo povo
de de
Deus deus
e e
Abra abrir
sua seu
Bíblia bíblia
em em
segunda segunda
Coríntios coríntio
Capítulo capítulo
12 12
versículo versículo
1 1
ao a_o
4 4
a o
segunda segundo
carta carta
de de
Paulo paulo
aos a_o
Coríntios coríntio
Capítulo capítulo
11 11
Versículo versículo
1 1
ao a_o
4 4
vou ir
deixar deixar
esse esse
aqui aqui
como como
um um
texto-base texto-base
para para
aquilo aquilo
que que
eu eu
me eu
proponho propor
aqui aqui
a a
tratar tratar
com com
vocês você
E e
tomara tomar
que que
me eu
suportar suportar
seis seis
um um
pouco pouco
na em_o
minha meu
loucura loucura
a a
suportar suportar
ele ele
porém porém
ainda ainda
porque porque
estou estar
Zeloso zeloso
de de
vós vós
com com
zelo zelo
de de
Deus deus
porque porque
vos vós
tenho ter
preparado preparar
para para
vos vós
apresentar apresentar
como como
uma um
virgem virgem
pura puro
a a
um um
marido marido
a a
saber saber
a a
Cristo cristo
Mas mas
temo temer
que que
assim assim
como como
a o
serpente serpente
enganou enganar
Eva eva
com com
a o
sua seu
astúcia astúcia
assim assim
também também
sejam ser
de de
alguma algum
sorte sorte
corrompidos corromper
os o
vossos vosso
sentidos sentir
ou ou
a o
vossa vosso
mente mente
e e
se se
apartem apartar
da de_o
simplicidade simplicidade
que que
há haver
em em
Cristo cristo
porque porque
se se
alguém alguém
for ser
pregar pregar
vos vós
outro outro
Jesus jesus
que que
não não
temos ter
pregado pregar
ou ou
se se
recebeis recebeis
outro outro
espírito espírito
que que
não não
recebestes receber
ou ou
outro outro
evangelho evangelho
que que
não não
abraçastes abraçastes
com com
razão razão
o o
sofrereis sofrereis
é é
e e
aqui aqui
na em_o
minha meu
introdução introdução
me eu
perdoe perdoar
aqui aqui
os o
irmãos irmão
da de_o
advec advec
mas mas
como como
Tem ter
muita muito
gente gente
que que
nos nós
acompanha acompanhar
de de
outros outro
lugares lugar
do de_o
Brasil brasil
do de_o
exterior exterior
eu eu
preciso precisar
dizer dizer
isso isso
aqui aqui
nessa em_esse
introdução introdução
para para
mim eu
é ser
muito muito
importante importante
eu eu
reconheço reconhecer
que que
tem ter
pastores pastor
que que
sabem saber
mais mais
a o
Bíblia bíblia
do de_o
que que
eu eu
e e
eu eu
reconheço reconhecer
que que
tem ter
pastores pastor
que que
são ser
mais mais
profundos profundo
na em_o
palavra palavra
do de_o
que que
eu eu
eu eu
reconheço reconhecer
que que
tem ter
pastores pastor
que que
tem ter
uma um
unção unção
de de
Deus deus
na em_o
vida vida
muito muito
mais mais
poderosa poderoso
do de_o
que que
eu eu
reconheço reconhecer
que que
Existem existir
pastores pastor
que que
tem ter
um um
ministério ministério
muito muito
maior grande
do de_o
que que
eu eu
também também
reconheço reconhecer
pastores pastor
que que
tem ter
uma um
vida vida
mais mais
Santa santa
do de_o
que que
eu eu
reconheço reconhecer
também também
que que
existem existir
crentes crente
ovelhas ovelha
o o
que que
conhecem conhecer
mais mais
a o
Bíblia bíblia
do de_o
que que
eu eu
é ser
porque porque
te tu
título título
de de
Ministro ministro
do de_o
Evangelho evangelho
não não
significa significar
você você
sabe saber
mais mais
a o
Bíblia bíblia
do de_o
que que
o o
outro outro
não não
é ser
o o
creio crer
que que
tem ter
ovelhas ovelha
que que
tem ter
até até
mais muito
profundidade profundidade
do de_o
que que
eu eu
sem sem
têm ter
mais muito
intimidade intimidade
com com
Deus deus
do de_o
que que
eu eu
Ah ah
tá estar
ok ok
só só
tem ter
uma um
coisa coisa
que que
as o
ovelhas ovelha
não não
tem ter
mais mais
do de_o
que que
os o
pastores pastor
autoridade autoridade
a o
autoridade autoridade
não não
você você
pode poder
ter ter
mais muito
conhecimento conhecimento
