como como
eu eu
digo dizer
sempre sempre
eu eu
não não
tenho ter
medo medo
de de
opinião opinião
pública público
nem nem
de de
opinião opinião
publicada publicar
eu eu
sou ser
um um
camarada camarada
de de
convicções convicção
eu eu
aprendi aprender
uma um
coisa coisa
tudo tudo
que que
eu eu
possa poder
ouvir ouvir
de de
redes rede
sociais social
de de
imprensa imprensa
de de
qualquer qualquer
lado lado
eu eu
sempre sempre
faço fazer
três três
coisas coisa
duvidar duvidar
criticar criticar
e e
determinado determinar
vieram vir
aceitar aceitar
de de
pronto pronto
crítica crítico
analisar analisar
determinaria determinar
aceito aceito
tudo tudo
rejeito rejeitar
tudo tudo
com com
aceito aceito
parto parto
gente gente
vou ir
dizer dizer
uma um
coisa coisa
vou ir
repetir repetir
aqui aqui
eu eu
vou ir
repetir repetir
aqui aqui
o o
que que
eu eu
já já
venho vir
falando falar
desde desde
agosto agosto
sempre sempre
fui ser
a a
favor favor
do de_o
afastamento afastamento
de de
de de
uma um
renan renan
e e
cunha cunha
agora agora
o o
planto plantar
stf stf
não não
pode poder
se se
unir unir
por por
11 11
a a
0 0
afastar afastar
dilma dilma
não não
pode poder
o o
pleno pleno
do de_o
stf stf
não não
pode poder
se se
unir unir
por por
11 11
a a
0 0
afastar afastar
renan renan
não não
pode poder
o o
pleno pleno
do de_o
stf stf
não não
pode poder
unir unir
por por
11 11
a a
0 0
afastar afastar
cunha cunha
é ser
a o
constituição constituição
o o
stf stf
é ser
guardião guardião
da de_o
constituição constituição
quem quem
é ser
que que
assistiu assistir
ontem ontem
a o
votação votação
do de_o
apartamento apartamento
enquanto enquanto
fernando fernando
cunha cunha
não não
que que
ele ele
seja ser
preso prender
que que
ele ele
pague pagar
pelo por_o
que que
ele ele
fez fazer
que que
seja ser
julgado julgar
que que
perca perder
o o
mandato mandato
que que
pega pegar
a o
presidência presidência
da de_o
fã fã
do de_o
cara cara
não não
tá estar
aí aí
fica ficar
alguns algum
povo povo
desculpe desculpar
a o
expressão expressão
que que
querem querer
deturpar deturpar
o o
que que
tem ter
provocado provocar
de de
pastor pastor
que que
é é
petralha petralhar
não não
toda todo
a o
verdade verdade
é ser
que que
ninguém ninguém
não não
rapaz rapaz
quem quem
faz fazer
faz fazer
borrada borrar
que que
pague pagar
a o
conta conta
eu eu
tô tô
falando falar
do de_o
carro carro
quando quando
a o
pessoa pessoa
ontem ontem
na em_o
discussão discussão
do de_o
plano plano
o o
ministro ministro
relatou relatar
theory theory
eu eu
vou ir
pegar pegar
aqui aqui
ó ó
o o
ministro ministro
diz dizer
não não
existe existir
previsão previsão
constitucional constitucional
para para
afastamento afastamento
do de_o
presidente presidente
da de_o
câmara câmara
para para
a o
suspensão suspensão
do de_o
seu seu
mandato mandato
chega chegar
não não
existe existir
da de_o
flec flec
quem quem
tem ter
essa esse
autonomia autonomia
à a_o
câmara câmara
os o
três três
poderes poder
se se
equiparam equipar
não não
tem ter
um um
poder poder
maior grande
do de_o
que que
o o
outro outro
dilma dilma
não não
pode poder
ser ser
afastada afastar
por por
canetada canetada
de de
juízes juíz
renan renan
não não
pode poder
se se
afastar afastar
do de_o
canetá canetá
de de
juízes juíz
nem nem
cunha cunha
por por
mais mais
que que
merece merecer
endereço endereço
até até
a o
cadeia cadeia
eu eu
estou estar
falando falar
aqui aqui
de de
pessoas pessoa
isso isso
é ser
uma um
afronta afronta
à a_o
constituição constituição
eu eu
pude poder
aqui aqui
eu eu
vi ver
o o
voto voto
dos de_o
ministros ministro
eu eu
nunca nunca
vi ver
uma um
votação votação
tão tão
rápida rápido
com com
palavras palavra
tão tão
curtas curto
eram ser
viudez viudez
invocar invocar
a o
constituição constituição
a a
gente gente
acorda acordar
adora adorar
o o
senador senador
delcídio delcídio
foi ser
preso prender
em em
flagrante flagrante
não não
tirar tirar
o o
mandato mandato
dele de_ele
você você
sabe saber
que que
a o
constituição constituição
prevê prever
falei falar
pra pra
você você
ó ó
a o
única único
hipótese hipótese
do de_o
afastamento afastamento
de de
um um
deputado deputado
é ser
o o
caso caso
de de
prisão prisão
em em
flagrante flagrante
por por
crime crime
inafiançável inafiançável
ea ea
inacinha inacinha
câmara câmara
aqui aqui
decide decidir
se se
vai ir
ficar ficar
preso prender
não não
é ser
essa esse
que que
é ser
a o
questão questão
gente gente
lembra lembrar
do de_o
mensalão mensalão
lembra lembrar
um um
monte monte
de de
deputados deputado
sendo ser
processado processar
o o
pequeno pequeno
a a
bottle bottle
joão joão
paulo paulo
cunha cunha
na em_o
comissão comissão
de de
constituição constituição
justiça justiçar
porque porque
quem quem
não não
tinha ter
terminado terminar
eu eu
não não
tô tô
aqui aqui
protegido proteger
cunha cunha
porcaria porcaria
nenhuma nenhum
nessa em_esse
j j
agora agora
um um
ato ato
porque porque
um um
cara cara
merece merecer
a o
cadeia cadeia
merece merecer
perder perder
