povo povo
abençoado abençoar
do de_o
Brasil brasil
eu eu
vou ir
provar provar
que que
o o
governo governo
confesso confessar
na em_o
cpmi cpmi
do de_o
dia dia
8 8
aquela aquele
baderna baderna
que que
houve haver
em em
Brasília brasília
eu eu
vou ir
provar provar
para para
vocês você
mas mas
vamos ir
lá lá
vocês você
lembram lembrar
da de_o
CPI cpi
da de_o
palhaçada palhaçada
da de_o
pandemia pandemia
que que
o o
senhor senhor
randolfo randolfo
Rodrigues rodrigues
o o
atual atual
líder líder
do de_o
governo governo
Senador senador
junto junto
da de_o
turma turma
da de_o
esquerda esquerda
impediu impedir
a o
convocação convocação
de de
governadores governador
que que
roubaram roubar
receberam receber
bilhões bilhão
do de_o
governo governo
bolsonaro bolsonaro
impediram impedir
a o
convocação convocação
do de_o
petista petista
Carlos carlos
gabas gabas
assassino assassino
de de
nordestinos nordestino
que que
comprou comprar
respiradores respirador
que que
nunca nunca
chegou chegar
agora agora
o o
senhor senhor
randolf randolf
Rodrigues rodrigues
foi ser
promovido promover
a a
palhaço palhaço
chefe chefe
para para
mostrar mostrar
como como
é ser
que que
ele ele
é ser
assim assim
que que
palhaço palhaço
quando quando
houve haver
aquela aquele
baderna baderna
no em_o
dia dia
8 8
no em_o
dia dia
9 9
ele ele
pediu pedir
uma um
CPI cpi
chamou chamar
os o
caras cara
de de
bolsonaristas bolsonaristas
terroristas terrorista
depois depois
quando quando
a o
chapa chapa
começou começar
a a
esquentar esquentar
contra contra
o o
governo governo
Lula lula
pela por_o
omissão omissão
em em
abril abril
ele ele
disse dizer
não não
é ser
preciso preciso
mais mais
serpei serpei
e e
hoje hoje
é ser
o o
chefe chefe
porque porque
a o
CPI cpi
a a
maioria maioria
do de_o
governo governo
e e
ele ele
fez fazer
uma um
coisa coisa
que que
nunca nunca
aconteceu acontecer
em em
CPI cpi
votar votar
em em
bloco bloco
né né
em em
separar separar
as o
convocações convocação
para para
proteger proteger
a o
turma turma
do de_o
governo governo
começa começar
aqui aqui
a o
prova prova
que que
o o
governo governo
Lula lula
é ser
real real
confessa confessar
porque porque
se se
eles eles
não não
tem ter
nada nada
com com
aquela aquele
baderna baderna
porque porque
impedir impedir
a o
convocação convocação
do de_o
Ministro ministro
Flávio flávio
Dino dino
que que
tava tava
em em
Brasília brasília
e e
foi ser
omisso omisso
porque porque
impedir impedir
a o
convocação convocação
do de_o
chefe chefe
do de_o
GSI gsi
o o
general general
Gonçalves gonçalves
que que
tava tava
lá lá
no em_o
palácio palácio
lá lá
no em_o
vídeo vídeo
aí aí
ó ó
ó ó
ó ó
olha olhar
o o
vídeo vídeo
aí aí
ó ó
o o
manifestante manifestante
que que
foi ser
o o
ministro ministro
porque porque
não não
convocar convocar
o o
chefe chefe
da de_o
Polícia polícia
Federal federal
só só
convocou convocar
a o
gente gente
ligada ligar
a a
bolsonaro bolsonaro
o o
Anderson anderson
Torres torres
que que
nem nem
estava estar
no em_o
Brasil brasil
tava tava
no em_o
exterior exterior
e e
que que
foi ser
preso prender
justamente justamente
pelo por_o
ditador ditador
da de_o
toca toca
Alexandre alexandre
de de
Moraes moraes
convocaram convocar
lá lá
no em_o
Cid cid
que que
é ser
ligado ligar
ao a_o
presidente presidente
Olha olhar
que que
vergonha vergonha
um um
verdadeiro verdadeiro
onde onde
o o
governo governo
Lula lula
real real
confesso confessar
os o
governistas governista
não não
deixaram deixar
convocar convocar
ninguém ninguém
do de_o
governo governo
por por
quê quê
porque porque
o o
governo governo
Lula lula
foi ser
omisso omisso
nessa em_esse
baderna baderna
e e
o o
pior mau
gente gente
é ser
ver ver
a o
imprensa imprensa
brasileira brasileiro
em em
grande grande
parte parte
sabe saber
fazer fazer
um um
jogo jogo
desse de_esse
governo governo
Olha olhar
a o
matéria matéria
do de_o
Globo globo
da de_o
Veja veja
e e
da de_o
folha folha
a o
capa capa
é ser
os o
caras cara
de de
bolsonaro bolsonaro
convocados convocar
lá lá
dentro dentro
da de_o
matéria matéria
eu eu
tô tô
provando provar
é ser
que que
eles eles
vão ir
dizer dizer
que que
os o
governistas governista
protegeram proteger
a o
turma turma
do de_o
governo governo
Isso isso
é ser
uma um
vergonha vergonha
isso isso
é ser
jornalismo jornalismo
é ser
eu eu
quero querer
aqui aqui
destacar destacar
o o
metrópoles metrópole
esse esse
sim sim
mostrou mostrar
que que
o o
governo governo
Lula lula
é ser
omisso omisso
e e
Réu réu
Confesso confessar
agora agora
preciso preciso
dizer dizer
uma um
coisa coisa
aqui aqui
gente gente
a o
relatora relator
desse de_esse
circo circo
é ser
a o
Senadora senador
eliziane eliziane
Gama gama
a o
comunista comunista
travesti travesti
de de
crente crente
mudou mudar
de de
partido partido
para para
poder poder
ganhar ganhar
a o
eleição eleição
ela ela
é ser
pau pau
mandado mandar
de de
Flávio flávio
Dina dina
do de_o
governo governo
Lula lula
essa esse
que que
é ser
a o
verdade verdade
cupicha cupicha
do de_o
Fábio fábio
Dino dino
tá estar
lá lá
para para
fazer fazer
o o
serviço serviço
desse de_esse
governo governo
eu eu
queria querer
saber saber
que que
sexo sexo
de de
Justiça justiça
tem ter
essa esse
mulher mulher
eu eu
vou ir
esperar esperar
o o
relatório relatório
final final
dela de_ela
porque porque
eu eu
vou ir
denunciar denunciar
ao a_o
povo povo
evangélico evangélico
do de_o
Maranhão maranhão
Isso isso
é ser
uma um
vergonha vergonha
gente gente
é ser
uma um
patifaria patifaria
é ser
um um
verdadeiro verdadeiro
circo circo
para para
produzir produzir
narrativa narrativa
para para
atacar atacar
o o
presidente presidente
bolsonaro bolsonaro
é ser
só só
para para
isso isso
o o
governo governo
Lula lula
é ser
Réu réu
Confesso confessar
foi ser
omisso omisso
e e
proteger proteger
os o
membros membro
para para
não não
comparecerem comparecer
na em_o
CPI cpi
Que que
vergonha vergonha
que que
palhaçada palhaçada
Deus deus
tem ter
misericórdia misericórdia
do de_o
Brasil brasil
