abra abrir
sua seu
bíblia bíblia
a a
palavra palavra
do de_o
senhor senhor
nos em_o
salmos salmo
62 62
versículo versículo
1 1
salmos salmo
62 62
versículo versículo
um um
diz dizer
o o
texto texto
da de_o
palavra palavra
de de
deus deus
a a
minha meu
alma alma
espera esperar
somente somente
em em
deus deus
dele de_ele
vem vir
a o
minha meu
salvação salvação
a a
minha meu
alma alma
espera esperar
somente somente
em em
deus deus
dele de_ele
vem vir
a o
minha meu
salvação salvação
esperar esperar
em em
deus deus
ou ou
esperar esperar
de de
deus deus
qual qual
é ser
a o
diferença diferença
e e
esperar esperar
de de
deus deus
significa significar
algo algo
que que
deus deus
faz fazer
algo algo
que que
deus deus
me eu
dá dar
quando quando
você você
está estar
falando falar
esperar esperar
de de
deus deus
esperar esperar
em em
deus deus
significa significar
a o
sua seu
entrega entrega
total total
a a
ele ele
a a
sua seu
dependência dependência
total total
é ser
se se
colocar colocar
nos em_o
braços braço
de de
deus deus
inteiramente inteiramente
o o
que que
é ser
que que
nós nós
podemos poder
esperar esperar
em em
deus deus
e e
não não
esperar esperar
de de
deus deus
mas mas
em em
deus deus
quando quando
você você
está estar
em em
deus deus
eu eu
vou ir
dizer dizer
algumas algum
coisas coisa
aqui aqui
que que
são ser
muitas muito
mas mas
vou ir
dizer dizer
algumas algum
para para
que que
você você
possa poder
entender entender
como como
é ser
importante importante
você você
entregar entregar
totalmente totalmente
a o
sua seu
vida vida
ele ele
não não
apenas apenas
está estar
disposto disposto
a a
receber receber
alguma algum
coisa coisa
dele de_ele
porque porque
tem ter
pessoas pessoa
que que
vão ir
buscar buscar
a a
deus deus
quando quando
tem ter
alguma algum
necessidade necessidade
quando quando
tem ter
algum algum
problema problema
então então
esperam esperar
de de
deus deus
alguma algum
coisa coisa
mas mas
há haver
uma um
diferença diferença
colossal colossal
de de
você você
esperar esperar
em em
deus deus
é ser
porque porque
a o
sua seu
vida vida
o o
tempo tempo
todo todo
está estar
disponível disponível
para para
deus deus
então então
para para
essas esse
pessoas pessoa
que que
não não
apenas apenas
espera esperar
uma um
resposta resposta
de de
deus deus
um um
ato ato
de de
deus deus
uma um
bênção bênção
de de
deus deus
mas mas
que que
esperam esperar
em em
e e
não não
de de
mas mas
o o
que que
é ser
que que
nós nós
podemos poder
esperar esperar
em em
deus deus
número número
1 1
vida vida
abundante abundante
se se
tem ter
uma um
coisa coisa
que que
você você
tem ter
em em
deus deus
é ser
vida vida
ele ele
é ser
o o
senhor senhor
da de_o
vida vida
e e
por por
que que
deus deus
pode poder
fazer fazer
com com
que que
você você
ao a_o
se se
jogar jogar
nos em_o
seus seu
braços braço
ao a_o
colocar colocar
inteiramente inteiramente
sua seu
vida vida
pra pra
ele ele
você você
pode poder
ter ter
vida vida
abundante abundante
é ser
porque porque
deus deus
age agir
nas em_o
quatro quatro
áreas área
principais principal
do de_o
ser ser
humano humano
e e
tem ter
muita muito
gente gente
que que
pensa pensar
que que
deus deus
só só
age agir
nas em_o
questões questão
do de_o
mundo mundo
espiritual espiritual
na em_o
arena arena
não não
deus deus
age agir
porque porque
você você
tem ter
vida vida
abundante abundante
um um
deus deus
porque porque
deus deus
tem ter
o o
poder poder
de de
agir agir
no em_o
mundo mundo
biológico biológico
do de_o
ser ser
humano humano
a o
bíblia bíblia
diz dizer
em em
atos ato
capítulo capítulo
17 17
versículo versículo
25 25
e e
28 28
porquê porquê
dele de_ele
provém provir
a o
vida vida
e e
as o
demais demais
coisas coisa
por por
ele ele
vivemos vivar
nos nós
movemos mover
e e
existimos existir
por por
ele ele
vivemos vivar
nos nós
movemos mover
e e
existimos existir
os o
aos a_o
104 104
a a
partir partir
do de_o
versículo versículo
27 27
diz dizer
todos todo
