[ [
Música música
] _
E e
aí aí
Oi oi
boa bom
noite noite
amados amar
A o
paz paz
de de
Cristo cristo
para para
todos todo
amém amém
vamos ir
ficar ficar
de de
pé pé
vamos ir
dar dar
início início
ao a_o
nosso nosso
culto culto
dessa de_esse
noite noite
nessas em_esse
a o
última último
noite noite
da de_o
conferência conferência
das de_o
mulheres mulher
vitoriosas vitorioso
eu eu
queria querer
que que
você você
cumprimentasse cumprimentasse
aí aí
os o
homens homem
vencedores vencedor
e e
as o
mulheres mulher
vitoriosas vitorioso
eu eu
queria querer
que que
você você
cumprimentar cumprimentar
seu seu
vizinho vizinho
que que
tá estar
perto perto
de de
você você
aí aí
daí de_aí
uma um
palavra palavra
de de
benção benção
o o
sorriso sorriso
que que
a o
vida vida
disse dizer
que que
o o
sorriso sorriso
aformoseia aformoseia
o o
rosto rosto
então então
quando quando
você você
sorrir sorrir
você você
fica ficar
mais mais
bonito bonito
mais mais
bonita bonito
glória glória
a a
Deus deus
aleluia aleluiar
Que que
bom bom
que que
você você
está estar
aqui aqui
na em_o
casa casa
de de
Deus deus
que que
essa esse
noite noite
seja ser
uma um
noite noite
de de
benção benção
para para
tua tua
vida vida
que que
Deus deus
possa poder
falar falar
de de
uma um
maneira maneira
grande grande
forte forte
e e
poderosa poderoso
no em_o
seu seu
coração coração
em em
nome nome
de de
Jesus jesus
por por
emos emos
é ser
o o
Deus deus
amado amar
querido querer
te tu
damos dar
graça graça
senhor senhor
nós nós
vamos ir
ter ter
o o
santo santo
nome nome
por por
esta este
noite noite
rica rico
por por
esta este
especial especial
oportunidade oportunidade
estava estar
na em_o
tua tua
casa casa
nessa em_esse
noite noite
de de
celebração celebração
nessa em_esse
noite noite
festa festa
onde onde
o o
teu teu
nome nome
Oh oh
Deus deus
será ser
glorificado glorificar
aqui aqui
nesse em_esse
lugar lugar
o o
propósito propósito
de de
cicuta cicuta
glorificate glorificate
exaltar exaltar
o o
teu teu
nome nome
é ser
dizer dizer
que que
só só
o o
Senhor senhor
Jesus jesus
salva salvar
cura cura
e e
liberta libertar
meu meu
Deus deus
amado amar
toma tomar
conta conta
desse de_esse
ambiente ambiente
dirige dirigir
todas todo
as o
coisas coisa
que que
teu teu
espírito espírito
santo santo
tenha ter
liberdade liberdade
para para
falar falar
o o
