[ [
Música música
] _
o o
apoio apoio
vem vir
só só
do de_o
brasil brasil
agora agora
chegou chegar
a o
minha meu
vez vez
fui ser
acusado acusar
até até
por por
evangélicos evangélico
e e
pastores pastor
fora fora
a o
gente gente
a o
sociedade sociedade
bastou bastar
só só
tá estar
perseguindo perseguir
os o
gamers gamers
deixa deixar
os o
caras cara
sei saber
o o
que que
eles eles
querem querer
ser ser
que que
conversa conversa
é ser
essa esse
minha meu
gente gente
eu eu
tô tô
aqui aqui
pra pra
impedir impedir
alguém alguém
de de
querer querer
ser ser
alguma algum
coisa coisa
cada cada
um um
faça fazer
o o
seu seu
corpo corpo
que que
quer querer
a o
questão questão
não não
é ser
essa esse
eles eles
vêm vir
com com
essa esse
falácia falácia
de de
direitos direito
humanos humano
para para
impostos imposto
à a_o
cultura cultura
na em_o
sociedade sociedade
para para
impor impor
sua seu
cultura cultura
pra pra
nossas nosso
crianças criança
essa esse
que que
é ser
a o
verdade verdade
e e
eu eu
vou ir
desmontar desmontar
que que
a o
falácia falácia
deles de_eles
com com
argumentos argumento
científicos científico
e e
vou ir
fazer fazer
uma um
denúncia denúncia
gravíssima grave
e e
mostrar mostrar
que que
imagens imagem
chocantes chocante
pra pra
você você
vamos ir
lá lá
primeiro primeiro
lugar lugar
a a
criança criança
quando quando
nasce nascer
tem ter
uma um
predisposição predisposição
para para
herta herta
características característica
psicológicas psicológico
do de_o
sexo sexo
que que
vem vir
isso isso
aqui aqui
é ser
científico científico
tem ter
um um
monte monte
de de
estudo estudo
mostrando mostrar
que que
conversa conversa
fiada fiar
de de
que que
sexo sexo
é ser
cultural cultural
não não
tem ter
uma um
prova prova
disso de_isso
tem ter
farto fartar
material material
a o
sexualidade sexualidade
é ser
biológica biológico
agora agora
vou ir
para para
uma um
outra outro
afirmação afirmação
científica científico
a o
sexualidade sexualidade
nas em_o
diferentes diferente
espécies espécie
cumprir cumprir
três três
com com
suas seu
principais principal
do de_o
alli alli
complementariedade complementariedade
e e
fecundação fecundação
peraí peraí
o o
transexual transexual
peraí peraí
o o
homossexualismo homossexualismo
põe pôr
isso isso
pra pra
ver ver
o o
querido querer
essas esse
coisas coisa
são ser
comportamentais comportamental
e e
não não
condição condição
como como
eles eles
querem querer
é ser
uma um
vergonha vergonha
minha meu
gente gente
