oséias oséias
capítulo capítulo
4 4
versículo versículo
6 6
diz dizer
assim assim
o o
meu meu
povo povo
foi ser
destruído destruir
porque porque
lhe ele
faltou faltar
conhecimento conhecimento
o o
meu meu
povo povo
foi ser
destruído destruir
não não
tá estar
falando falar
que que
seu seu
império império
não não
tá estar
falando falar
que que
é ser
povo povo
do de_o
diabo diabo
nem nem
do de_o
capeta capeta
o o
profeta profeta
tá estar
falando falar
do de_o
povo povo
de de
deus deus
o o
meu meu
povo povo
foi ser
destruído destruir
porque porque
lhe ele
faltou faltar
conhecimento conhecimento
eu eu
quero querer
falar falar
sobre sobre
a o
importância importância
de de
se se
obter obter
o o
conhecimento conhecimento
de de
deus deus
por por
isso isso
que que
eu eu
te tu
falei falar
que que
a o
mensagem mensagem
pedagógica pedagógico
não não
sei saber
se se
vai ir
ter ter
um um
glória glória
talvez talvez
tenha ter
alguns algum
suspiros suspiro
primeira primeira
coisa coisa
que que
eu eu
quero querer
falar falar
sobre sobre
o o
conhecimento conhecimento
de de
deus deus
eu eu
quero querer
trazer trazer
pra pra
você você
na em_o
minha meu
introdução introdução
4 4
verdade verdade
muito muito
importante importante
sobre sobre
o o
conhecimento conhecimento
de de
deus deus
a o
primeira primeiro
conhecemos conhecer
em em
parte parte
tudo tudo
o o
que que
você você
pensar pensar
acerca acerca
do de_o
conhecimento conhecimento
nós nós
só só
podemos poder
conhecer conhecer
em em
parte parte
diz dizer
paulo paulo
primeira primeira
coríntios coríntio
capítulo capítulo
13 13
versículo versículo
9 9
e e
10 10
em em
parte parte
conhecemos conhecer
em em
parte parte
profetizamos profetizamos
zemos zemos
como como
por por
espelho espelho
como como
por por
enigma enigma
então então
nós nós
conhecemos conhecer
em em
parte parte
eu eu
te tu
explico explicar
porquê porquê
simples simples
como como
a o
mente mente
limitada limitado
humana humano
vai ir
compreender compreender
toda todo
a o
extensão extensão
da de_o
mente mente
eterna eterno
de de
deus deus
não não
tem ter
como como
por por
isso isso
que que
nós nós
conhecemos conhecer
em em
parte parte
não não
há haver
capacidade capacidade
na em_o
mente mente
humana humano
para para
entender entender
e e
compreender compreender
o o
da de_o
mente mente
é ser
eterna eterno
de de
deus deus
roma roma
em em
diante diante
diz dizer
achou achar
de de
vida vida
terno terno
poder poder
claramente claramente
tem ter
de de
se se
ver ver
pelas por_o
coisas coisa
que que
estão estar
criadas criar
para para
que que
os o
homens homem
fiquem ficar
inescusáveis inescusar
a o
lei lei
de de
conhecermos conhecer
em em
parte parte
conhecemos conhecer
o o
que que
se se
pode poder
pelo por_o
mesmo mesmo
princípio princípio
porque porque
se se
deus deus
manifestasse manifestar
toda todo
a o
sua seu
grandeza grandeza
nós nós
vamos ir
ficar ficar
confuso confundir
é ser
aquela aquele
história história
que que
eu eu
já já
falei falar
não não
sei saber
se se
falei falar
aqui aqui
se se
falei falar
e e
repito repetir
não não
falei falar
ao a_o
vivo vivo
pela por_o
primeira primeiro
vez vez
é ser
a o
história história
de de
um um
amigo amigo
meu meu
diretor diretor
de de
uma um
emissora emissora
de de
tv tv
um um
cara cara
muito muito
inteligente inteligente
que que
chega chegar
pra pra
mim eu
um um
dia dia
diz dizer
assim assim
malafaia malafaia
tudo tudo
me eu
leve levar
a a
mal mal
falei falar
você você
me eu
desculpa desculpar
eu eu
não não
creio crer
em em
deus deus
porque porque
eu eu
não não
entendo entender
muita muito
