v000016 abençoar
v000817 aberto
v000930 aborto
v000038 abrir
v000803 absoluto
v000589 absurdo
v000218 acabar
v000259 aceitar
v000903 acertar
v000059 achar
v000453 acompanhar
v000037 acontecer
v000556 acordar
v000152 acreditar
v000975 acrescentar
v000665 acusar
v000322 adiantar
v000776 adolescente
v000429 adorar
v000862 adoração
v000340 adversidade
v000376 afastar
v000816 afronta
v000992 agente
v000217 agir
v000894 agradar
v000929 agradecer
v000839 aguentar
v000705 ajuda
v000155 ajudar
v000691 alcançar
v000356 alegria
v000389 aleluia
v000355 aleluiar
v000838 alerta
v000408 alma
v000156 alto
v000919 altura
v000702 amado
v000166 amar
v000131 amigo
v000165 amor
v000446 amém
v000546 analisar
v000204 andar
v000827 angústia
v000701 animal
v000379 anjo
v000039 ano
v000951 anotar
v000577 antigo
v000354 aparecer
v000750 apertar
v000171 aplauso
v000391 apoiar
v000788 apoio
v000084 aprender
v000476 apresentar
v000749 aprovar
v000632 aproveitar
v000313 apóstolo
v000449 aqui
v000787 ar
v000950 arma
v000861 arrancar
v000722 arrebentar
v000837 arrepender
v000410 arrumar
v000375 artigo
v000928 assentar
v000268 assistir
v000690 assunto
v000664 atacar
v000696 atender
v000077 atenção
v000543 atingir
v000270 atitude
v000211 ato
v000918 atravessar
v000815 aumentar
v000186 autoridade
v000814 avisar
v000161 ação
v000742 bacana
v000860 baixar
v000395 baixo
v000881 banco
v000475 bandido
v000748 base
v000689 basear
v000688 bastar
v000962 batalha
v000303 bater
v000533 beber
v000424 bem
v000294 benção
v000536 bilhão
v000555 bobagem
v000128 boca
v000025 bom
v000482 bonito
v000679 bota
v000101 botar
v000121 brasil
v000081 brasileiro
v000741 braço
v000307 brincadeira
v000561 brincar
v000289 buscar
v000361 bênção
v000216 bíblia
v000227 cabeça
v000407 cadeia
v000094 cair
v000264 calar
v000249 camarada
v000880 cambar
v000182 caminho
v000740 campanha
v000591 campo
v000949 canal
v000948 candidato
v000859 cansar
v000431 cantar
v000902 caos
v000420 capacidade
v000858 capaz
v000521 capeta
v000033 capítulo
v000019 cara
v000901 característica
v000771 caramba
v000474 carne
v000786 caro
v000238 carro
v000813 carta
v000520 caráter
v000047 casa
v000337 casamento
v000796 casar
v000366 caso
v000917 católico
v000103 causa
v000947 causar
v000974 centro
v000349 certeza
v000108 certo
v000568 chamado
v000058 chamar
v000515 chefe
v000026 chegar
v000299 cheio
v000353 chorar
v000616 chuva
v000961 chá
v000710 chão
v000247 cidade
v000200 cima
v000785 circunstância
v000283 citar
v000588 ciência
v000687 clamar
v000459 claro
v000770 classe
v000005 coisa
v000946 colega
v000060 colocar
v000973 comandar
v000945 combater
v000246 comer
v000445 cometer
v000135 começar
v000872 comida
v000936 completo
v000288 comprar
v000916 compromisso
v000915 comunhão
v000857 conclusão
v000524 concordar
v000695 condenar
v000643 condição
v000893 confiar
v000900 confundir
v000739 confusão
v000631 congresso
v000096 conhecer
v000704 conhecido
v000369 conhecimento
v000972 conjunto
v000759 conosco
v000281 conquistar
v000147 conseguir
v000607 conselho
v000960 consertar
v000638 considerar
v000348 constituição
v000394 construir
v000914 construção
v000193 conta
v000223 contar
v000464 contigo
v000347 continuar
v000700 controlar
v000580 controle
v000481 contrário
v000168 conversa
v000663 conversar
v000892 convicção
v000678 convidar
v000959 coragem
v000109 coração
v000263 corpo
v000287 correr
v000856 correto
v000958 corrigir
v000469 corrupto
v000567 corrupção
v000652 cortar
v000207 coríntio
v000709 covarde
v000210 crente
v000971 crença
v000098 crer
v000325 crescer
v000181 criança
v000203 criar
v000940 criatura
v000846 criação
v000677 crime
v000542 crise
v000413 cristo
v000262 cristão
v000879 criticar
v000417 cuidado
v000209 cuidar
v000970 culpa
v000233 culto
v000716 cultura
v000245 cumprir
v000615 curar
v000944 curso
v000991 câmara
v000093 céu
v000651 dado
v000007 dar
v000969 debochar
v000253 decidir
v000279 decisão
v000190 declarar
v000855 declaração
v000360 defender
v000854 defesa
v000878 definir
v000041 deixar
v000694 democrático
v000532 demônio
v000738 denunciar
v000385 depender
v000372 deputado
v000603 derrota
v000496 derrotar
v000545 derrubar
v000871 desafiar
v000758 desafio
